dropped_sample	delta_healer_minus_nonhealer	feature	same_direction_as_full
G15	0.364859957533858	fibroblast_repair_activation	TRUE
G2	0.392861080344536	fibroblast_repair_activation	TRUE
G23	0.359582312236089	fibroblast_repair_activation	TRUE
G33	0.372804893070742	fibroblast_repair_activation	TRUE
G34	0.377741274800255	fibroblast_repair_activation	TRUE
G39	0.428368125964245	fibroblast_repair_activation	TRUE
G4	0.385951740436461	fibroblast_repair_activation	TRUE
G42	0.420216991924565	fibroblast_repair_activation	TRUE
G45	0.375900180058535	fibroblast_repair_activation	TRUE
G49	0.395082892125124	fibroblast_repair_activation	TRUE
G6	0.391368638276564	fibroblast_repair_activation	TRUE
G7	0.389821600652287	fibroblast_repair_activation	TRUE
G8	0.399375738741137	fibroblast_repair_activation	TRUE
G9	0.365079564584078	fibroblast_repair_activation	TRUE
G15	0.353660858700842	stromal_ligand_panel	TRUE
G2	0.379007936102422	stromal_ligand_panel	TRUE
G23	0.359818482937582	stromal_ligand_panel	TRUE
G33	0.367088731930044	stromal_ligand_panel	TRUE
G34	0.369091057631238	stromal_ligand_panel	TRUE
G39	0.408870640026872	stromal_ligand_panel	TRUE
G4	0.390532532457534	stromal_ligand_panel	TRUE
G42	0.402541030246452	stromal_ligand_panel	TRUE
G45	0.358345671709267	stromal_ligand_panel	TRUE
G49	0.375494787117767	stromal_ligand_panel	TRUE
G6	0.378908596743454	stromal_ligand_panel	TRUE
G7	0.388876623540032	stromal_ligand_panel	TRUE
G8	0.391676160783381	stromal_ligand_panel	TRUE
G9	0.364904353443546	stromal_ligand_panel	TRUE
G15	0.0678043877805062	vascular_perivascular_receiver_coupling	TRUE
G2	0.0793475287588204	vascular_perivascular_receiver_coupling	TRUE
G23	0.0657694976950273	vascular_perivascular_receiver_coupling	TRUE
G33	0.0772451923330363	vascular_perivascular_receiver_coupling	TRUE
G34	0.070104451582161	vascular_perivascular_receiver_coupling	TRUE
G39	0.0987446212992166	vascular_perivascular_receiver_coupling	TRUE
G4	0.0884840140379083	vascular_perivascular_receiver_coupling	TRUE
G42	0.0593045240093526	vascular_perivascular_receiver_coupling	TRUE
G45	0.0455477299353113	vascular_perivascular_receiver_coupling	TRUE
G49	0.0564165521518019	vascular_perivascular_receiver_coupling	TRUE
G6	0.0356038193398263	vascular_perivascular_receiver_coupling	TRUE
G7	0.0644343137524654	vascular_perivascular_receiver_coupling	TRUE
G8	0.0753992853545922	vascular_perivascular_receiver_coupling	TRUE
G9	0.053028489598974	vascular_perivascular_receiver_coupling	TRUE
G15	0.245169583714223	d7_acute_wound_alignment	TRUE
G2	0.24169555430788	d7_acute_wound_alignment	TRUE
G23	0.232944718324977	d7_acute_wound_alignment	TRUE
G33	0.218232399963836	d7_acute_wound_alignment	TRUE
G34	0.230392684699	d7_acute_wound_alignment	TRUE
G39	0.274448522167866	d7_acute_wound_alignment	TRUE
G4	0.221202364400255	d7_acute_wound_alignment	TRUE
G42	0.298322422604211	d7_acute_wound_alignment	TRUE
G45	0.254024627500572	d7_acute_wound_alignment	TRUE
G49	0.260446433027153	d7_acute_wound_alignment	TRUE
G6	0.292927486994915	d7_acute_wound_alignment	TRUE
G7	0.234854497471496	d7_acute_wound_alignment	TRUE
G8	0.267996832371164	d7_acute_wound_alignment	TRUE
G9	0.237697258242122	d7_acute_wound_alignment	TRUE
G15	1.26261443641306	SRRS	TRUE
G2	1.34552842099958	SRRS	TRUE
G23	1.24386891519542	SRRS	TRUE
G33	1.2763247436571	SRRS	TRUE
G34	1.28144816483101	SRRS	TRUE
G39	1.50546779520785	SRRS	TRUE
G4	1.34822553356326	SRRS	TRUE
G42	1.42249509770471	SRRS	TRUE
G45	1.23636126116504	SRRS	TRUE
G49	1.31099227151623	SRRS	TRUE
G6	1.29997817958958	SRRS	TRUE
G7	1.30856322192543	SRRS	TRUE
G8	1.38966077083935	SRRS	TRUE
G9	1.23028663300451	SRRS	TRUE
G15	0.593314409300437	negative_housekeeping_control_z	TRUE
G2	0.58235822777798	negative_housekeeping_control_z	TRUE
G23	0.566516858515212	negative_housekeeping_control_z	TRUE
G33	0.376579773778897	negative_housekeeping_control_z	TRUE
G34	0.399377875810514	negative_housekeeping_control_z	TRUE
G39	0.523865798568765	negative_housekeeping_control_z	TRUE
G4	0.418639261371675	negative_housekeeping_control_z	TRUE
G42	0.765001479789849	negative_housekeeping_control_z	TRUE
G45	0.759255942206101	negative_housekeeping_control_z	TRUE
G49	0.632121387882025	negative_housekeeping_control_z	TRUE
G6	1.07041760604102	negative_housekeeping_control_z	TRUE
G7	0.467005069136909	negative_housekeeping_control_z	TRUE
G8	0.604020777825286	negative_housekeeping_control_z	TRUE
G9	0.623221953470507	negative_housekeeping_control_z	TRUE
