module	gene	used_in_SRRS	n_requested
fibroblast_repair_activation	THBS1	TRUE	19
fibroblast_repair_activation	WISP1	TRUE	19
fibroblast_repair_activation	IL11	TRUE	19
fibroblast_repair_activation	INHBA	TRUE	19
fibroblast_repair_activation	HIF1A	TRUE	19
fibroblast_repair_activation	TNFRSF12A	TRUE	19
fibroblast_repair_activation	CCL20	TRUE	19
fibroblast_repair_activation	MMP10	TRUE	19
fibroblast_repair_activation	COL10A1	TRUE	19
fibroblast_repair_activation	MMP3	TRUE	19
fibroblast_repair_activation	SERPINE1	TRUE	19
fibroblast_repair_activation	IL6	TRUE	19
fibroblast_repair_activation	PTGS2	TRUE	19
fibroblast_repair_activation	WNT5A	TRUE	19
fibroblast_repair_activation	TNFAIP6	TRUE	19
fibroblast_repair_activation	PDPN	TRUE	19
fibroblast_repair_activation	ITGA5	TRUE	19
fibroblast_repair_activation	ADAM12	TRUE	19
fibroblast_repair_activation	PLOD2	TRUE	19
stromal_ligand_panel	TNC	TRUE	10
stromal_ligand_panel	IL11	TRUE	10
stromal_ligand_panel	IL6	TRUE	10
stromal_ligand_panel	INHBA	TRUE	10
stromal_ligand_panel	THBS1	TRUE	10
stromal_ligand_panel	SERPINE1	TRUE	10
stromal_ligand_panel	CCL20	TRUE	10
stromal_ligand_panel	WNT5A	TRUE	10
stromal_ligand_panel	ADAM12	TRUE	10
stromal_ligand_panel	PTGS2	TRUE	10
vascular_perivascular_receiver_coupling	ITGB1	TRUE	20
vascular_perivascular_receiver_coupling	SDC4	TRUE	20
vascular_perivascular_receiver_coupling	ITGA5	TRUE	20
vascular_perivascular_receiver_coupling	ITGAV	TRUE	20
vascular_perivascular_receiver_coupling	ITGA8	TRUE	20
vascular_perivascular_receiver_coupling	CD47	TRUE	20
vascular_perivascular_receiver_coupling	IL11RA	TRUE	20
vascular_perivascular_receiver_coupling	IL6ST	TRUE	20
vascular_perivascular_receiver_coupling	IL6R	TRUE	20
vascular_perivascular_receiver_coupling	ENG	TRUE	20
vascular_perivascular_receiver_coupling	ACVR1	TRUE	20
vascular_perivascular_receiver_coupling	ACVR1B	TRUE	20
vascular_perivascular_receiver_coupling	ACVR2A	TRUE	20
vascular_perivascular_receiver_coupling	ACVR2B	TRUE	20
vascular_perivascular_receiver_coupling	TGFBR3	TRUE	20
vascular_perivascular_receiver_coupling	BAMBI	TRUE	20
vascular_perivascular_receiver_coupling	LRP1	TRUE	20
vascular_perivascular_receiver_coupling	PDGFRB	TRUE	20
vascular_perivascular_receiver_coupling	KDR	TRUE	20
vascular_perivascular_receiver_coupling	FLT1	TRUE	20
negative_housekeeping_control	ACTB	FALSE	8
negative_housekeeping_control	GAPDH	FALSE	8
negative_housekeeping_control	RPLP0	FALSE	8
negative_housekeeping_control	RPS18	FALSE	8
negative_housekeeping_control	B2M	FALSE	8
negative_housekeeping_control	PPIA	FALSE	8
negative_housekeeping_control	TBP	FALSE	8
negative_housekeeping_control	HPRT1	FALSE	8
d7_acute_wound_alignment	CTHRC1	TRUE	100
d7_acute_wound_alignment	PPP1R14B	TRUE	100
d7_acute_wound_alignment	GAPDH	TRUE	100
d7_acute_wound_alignment	C11orf96	TRUE	100
d7_acute_wound_alignment	TNC	TRUE	100
d7_acute_wound_alignment	TPM2	TRUE	100
d7_acute_wound_alignment	PPIB	TRUE	100
d7_acute_wound_alignment	P4HB	TRUE	100
d7_acute_wound_alignment	LUM	TRUE	100
d7_acute_wound_alignment	THY1	TRUE	100
d7_acute_wound_alignment	S100A11	TRUE	100
d7_acute_wound_alignment	LGALS1	TRUE	100
d7_acute_wound_alignment	MIF	TRUE	100
d7_acute_wound_alignment	ARPC1B	TRUE	100
d7_acute_wound_alignment	NME2	TRUE	100
d7_acute_wound_alignment	ENO1	TRUE	100
d7_acute_wound_alignment	ACTG1	TRUE	100
d7_acute_wound_alignment	PKM	TRUE	100
d7_acute_wound_alignment	YBX1	TRUE	100
d7_acute_wound_alignment	TIMP1	TRUE	100
d7_acute_wound_alignment	ACTB	TRUE	100
d7_acute_wound_alignment	TPM4	TRUE	100
d7_acute_wound_alignment	TMSB10	TRUE	100
d7_acute_wound_alignment	RCN3	TRUE	100
d7_acute_wound_alignment	PRDX4	TRUE	100
d7_acute_wound_alignment	PFN1	TRUE	100
d7_acute_wound_alignment	COL6A3	TRUE	100
d7_acute_wound_alignment	COL5A2	TRUE	100
d7_acute_wound_alignment	MYDGF	TRUE	100
d7_acute_wound_alignment	TUBA1C	TRUE	100
d7_acute_wound_alignment	COL1A1	TRUE	100
d7_acute_wound_alignment	BRI3	TRUE	100
d7_acute_wound_alignment	TAGLN	TRUE	100
d7_acute_wound_alignment	PRELID1	TRUE	100
d7_acute_wound_alignment	SEC61G	TRUE	100
d7_acute_wound_alignment	ADAM12	TRUE	100
d7_acute_wound_alignment	SPHK1	TRUE	100
d7_acute_wound_alignment	SERF2	TRUE	100
d7_acute_wound_alignment	FKBP11	TRUE	100
d7_acute_wound_alignment	OST4	TRUE	100
d7_acute_wound_alignment	SRM	TRUE	100
d7_acute_wound_alignment	POSTN	TRUE	100
d7_acute_wound_alignment	BASP1	TRUE	100
d7_acute_wound_alignment	KDELR2	TRUE	100
d7_acute_wound_alignment	SEC61B	TRUE	100
d7_acute_wound_alignment	SSR4	TRUE	100
d7_acute_wound_alignment	OSTC	TRUE	100
d7_acute_wound_alignment	CAVIN3	TRUE	100
d7_acute_wound_alignment	INHBA	TRUE	100
d7_acute_wound_alignment	TUBA1B	TRUE	100
d7_acute_wound_alignment	SSR3	TRUE	100
d7_acute_wound_alignment	AP2S1	TRUE	100
d7_acute_wound_alignment	CXCL8	TRUE	100
d7_acute_wound_alignment	RAC1	TRUE	100
d7_acute_wound_alignment	RABAC1	TRUE	100
d7_acute_wound_alignment	S100A16	TRUE	100
d7_acute_wound_alignment	TGFBI	TRUE	100
d7_acute_wound_alignment	CTSB	TRUE	100
d7_acute_wound_alignment	PLIN2	TRUE	100
d7_acute_wound_alignment	TMSB4X	TRUE	100
d7_acute_wound_alignment	SH3BGRL3	TRUE	100
d7_acute_wound_alignment	PGAM1	TRUE	100
d7_acute_wound_alignment	MAP2K2	TRUE	100
d7_acute_wound_alignment	TUBB3	TRUE	100
d7_acute_wound_alignment	CKAP4	TRUE	100
d7_acute_wound_alignment	CYTOR	TRUE	100
d7_acute_wound_alignment	NME1	TRUE	100
d7_acute_wound_alignment	MZT2B	TRUE	100
d7_acute_wound_alignment	ATP5F1D	TRUE	100
d7_acute_wound_alignment	GSTP1	TRUE	100
d7_acute_wound_alignment	LSM7	TRUE	100
d7_acute_wound_alignment	CFL1	TRUE	100
d7_acute_wound_alignment	ATP5MC3	TRUE	100
d7_acute_wound_alignment	TNFRSF12A	TRUE	100
d7_acute_wound_alignment	UQCR10	TRUE	100
d7_acute_wound_alignment	FN1	TRUE	100
d7_acute_wound_alignment	UQCR11	TRUE	100
d7_acute_wound_alignment	PSMA7	TRUE	100
d7_acute_wound_alignment	LDHB	TRUE	100
d7_acute_wound_alignment	PDIA6	TRUE	100
d7_acute_wound_alignment	RCN1	TRUE	100
d7_acute_wound_alignment	EIF5A	TRUE	100
d7_acute_wound_alignment	GUK1	TRUE	100
d7_acute_wound_alignment	FAP	TRUE	100
d7_acute_wound_alignment	COL3A1	TRUE	100
d7_acute_wound_alignment	COX8A	TRUE	100
d7_acute_wound_alignment	CALR	TRUE	100
d7_acute_wound_alignment	TPI1	TRUE	100
d7_acute_wound_alignment	ATOX1	TRUE	100
d7_acute_wound_alignment	RAB13	TRUE	100
d7_acute_wound_alignment	VKORC1	TRUE	100
d7_acute_wound_alignment	VDAC1	TRUE	100
d7_acute_wound_alignment	MYL12A	TRUE	100
d7_acute_wound_alignment	EEF1B2	TRUE	100
d7_acute_wound_alignment	AP2M1	TRUE	100
d7_acute_wound_alignment	COTL1	TRUE	100
d7_acute_wound_alignment	PTMS	TRUE	100
d7_acute_wound_alignment	C1QBP	TRUE	100
d7_acute_wound_alignment	GSTO1	TRUE	100
d7_acute_wound_alignment	GNG5	TRUE	100
