feature	dropped_sample	delta_healer_minus_nonhealer	same_direction_as_full
D1_vs_D0_top100	G15	0.226290274579628	TRUE
D1_vs_D0_top100	G2	0.237977325421267	TRUE
D1_vs_D0_top100	G23	0.208935478979654	TRUE
D1_vs_D0_top100	G33	0.19676184526523	TRUE
D1_vs_D0_top100	G34	0.215724298933285	TRUE
D1_vs_D0_top100	G39	0.231813898541903	TRUE
D1_vs_D0_top100	G4	0.172297698337138	TRUE
D1_vs_D0_top100	G42	0.255507781610358	TRUE
D1_vs_D0_top100	G45	0.251748055532798	TRUE
D1_vs_D0_top100	G49	0.238953860119659	TRUE
D1_vs_D0_top100	G6	0.269768605274644	TRUE
D1_vs_D0_top100	G7	0.200141627980403	TRUE
D1_vs_D0_top100	G8	0.229304388005262	TRUE
D1_vs_D0_top100	G9	0.208796068966142	TRUE
D7_vs_D0_top100_original	G15	0.245169583714223	TRUE
D7_vs_D0_top100_original	G2	0.24169555430788	TRUE
D7_vs_D0_top100_original	G23	0.232944718324977	TRUE
D7_vs_D0_top100_original	G33	0.218232399963836	TRUE
D7_vs_D0_top100_original	G34	0.230392684699	TRUE
D7_vs_D0_top100_original	G39	0.274448522167866	TRUE
D7_vs_D0_top100_original	G4	0.221202364400255	TRUE
D7_vs_D0_top100_original	G42	0.298322422604211	TRUE
D7_vs_D0_top100_original	G45	0.254024627500572	TRUE
D7_vs_D0_top100_original	G49	0.260446433027153	TRUE
D7_vs_D0_top100_original	G6	0.292927486994915	TRUE
D7_vs_D0_top100_original	G7	0.234854497471496	TRUE
D7_vs_D0_top100_original	G8	0.267996832371164	TRUE
D7_vs_D0_top100_original	G9	0.237697258242122	TRUE
D30_vs_D0_top100	G15	0.187037992401589	TRUE
D30_vs_D0_top100	G2	0.156509937459416	TRUE
D30_vs_D0_top100	G23	0.174186877350916	TRUE
D30_vs_D0_top100	G33	0.147795643194545	TRUE
D30_vs_D0_top100	G34	0.152589602382999	TRUE
D30_vs_D0_top100	G39	0.216044907341719	TRUE
D30_vs_D0_top100	G4	0.162661355366298	TRUE
D30_vs_D0_top100	G42	0.223937923206897	TRUE
D30_vs_D0_top100	G45	0.16460624969138	TRUE
D30_vs_D0_top100	G49	0.195843386223324	TRUE
D30_vs_D0_top100	G6	0.196449808286348	TRUE
D30_vs_D0_top100	G7	0.173793583881571	TRUE
D30_vs_D0_top100	G8	0.200664003345374	TRUE
D30_vs_D0_top100	G9	0.197809654864814	TRUE
D7_vs_D1_top100	G15	0.172859211585673	TRUE
D7_vs_D1_top100	G2	0.152363121837047	TRUE
D7_vs_D1_top100	G23	0.168092886513746	TRUE
D7_vs_D1_top100	G33	0.146856799465635	TRUE
D7_vs_D1_top100	G34	0.15331686697666	TRUE
D7_vs_D1_top100	G39	0.205226829096488	TRUE
D7_vs_D1_top100	G4	0.170820449294978	TRUE
D7_vs_D1_top100	G42	0.214141417550102	TRUE
D7_vs_D1_top100	G45	0.152793057765426	TRUE
D7_vs_D1_top100	G49	0.175720770491354	TRUE
D7_vs_D1_top100	G6	0.181482859501525	TRUE
D7_vs_D1_top100	G7	0.168618409061963	TRUE
D7_vs_D1_top100	G8	0.194031317845267	TRUE
D7_vs_D1_top100	G9	0.185028112707224	TRUE
D7_vs_D30_top100	G15	0.0975946914197354	TRUE
D7_vs_D30_top100	G2	0.129516077825843	TRUE
D7_vs_D30_top100	G23	0.101835899992954	TRUE
D7_vs_D30_top100	G33	0.114388222349651	TRUE
D7_vs_D30_top100	G34	0.136129366829366	TRUE
D7_vs_D30_top100	G39	0.122353568404196	TRUE
D7_vs_D30_top100	G4	0.114392676219571	TRUE
