signature	gene	n_genes
D1_vs_D0_top100	MT2A	100
D1_vs_D0_top100	SERPINE2	100
D1_vs_D0_top100	YBX1	100
D1_vs_D0_top100	S100A11	100
D1_vs_D0_top100	TIMP1	100
D1_vs_D0_top100	TNC	100
D1_vs_D0_top100	MIF	100
D1_vs_D0_top100	CD59	100
D1_vs_D0_top100	MT1X	100
D1_vs_D0_top100	ENO1	100
D1_vs_D0_top100	GAPDH	100
D1_vs_D0_top100	S100A9	100
D1_vs_D0_top100	S100A2	100
D1_vs_D0_top100	SH3BGRL3	100
D1_vs_D0_top100	PSMA7	100
D1_vs_D0_top100	TUBA1C	100
D1_vs_D0_top100	PRELID1	100
D1_vs_D0_top100	PKM	100
D1_vs_D0_top100	C1QBP	100
D1_vs_D0_top100	KRT14	100
D1_vs_D0_top100	NME2	100
D1_vs_D0_top100	PFN1	100
D1_vs_D0_top100	S100A8	100
D1_vs_D0_top100	TXN	100
D1_vs_D0_top100	NME1	100
D1_vs_D0_top100	POMP	100
D1_vs_D0_top100	ACTB	100
D1_vs_D0_top100	RAN	100
D1_vs_D0_top100	S100A16	100
D1_vs_D0_top100	EIF5A	100
D1_vs_D0_top100	PPP1R14B	100
D1_vs_D0_top100	CTSL	100
D1_vs_D0_top100	GSTP1	100
D1_vs_D0_top100	SEC61G	100
D1_vs_D0_top100	EMP3	100
D1_vs_D0_top100	MT1E	100
D1_vs_D0_top100	GSTO1	100
D1_vs_D0_top100	SNRPF	100
D1_vs_D0_top100	POLR2L	100
D1_vs_D0_top100	TNFRSF12A	100
D1_vs_D0_top100	PPIB	100
D1_vs_D0_top100	NDUFS6	100
D1_vs_D0_top100	LDHA	100
D1_vs_D0_top100	GADD45GIP1	100
D1_vs_D0_top100	S100A7	100
D1_vs_D0_top100	PSMB1	100
D1_vs_D0_top100	C11orf96	100
D1_vs_D0_top100	TUBA1B	100
D1_vs_D0_top100	ATP5MC3	100
D1_vs_D0_top100	KRT6A	100
D1_vs_D0_top100	FABP5	100
D1_vs_D0_top100	ARPC1B	100
D1_vs_D0_top100	PDCD5	100
D1_vs_D0_top100	ATP5F1E	100
D1_vs_D0_top100	NHP2	100
D1_vs_D0_top100	NDUFA13	100
