set_name	n_requested	n_present	present_genes
marker_keratinocyte	7	7	KRT14;KRT5;KRT1;KRT10;KRT15;DSG1;DSP
marker_fibroblast_stromal	7	7	COL1A1;COL1A2;COL3A1;DCN;LUM;PDGFRA;COL6A1
marker_myeloid	7	7	LST1;LYZ;AIF1;C1QA;C1QB;CD68;FCGR3A
marker_endothelial	6	6	PECAM1;VWF;KDR;EMCN;RAMP2;CLDN5
marker_pericyte_smc	7	7	RGS5;PDGFRB;MCAM;CSPG4;ACTA2;TAGLN;MYH11
marker_t_nk	6	6	CD3D;CD3E;TRAC;NKG7;GNLY;KLRD1
marker_b_plasma	6	6	MS4A1;CD79A;CD79B;MZB1;JCHAIN;IGHG1
marker_melanocyte	4	4	PMEL;MLANA;TYR;DCT
marker_schwann	4	4	MPZ;PLP1;SOX10;S100B
fibroblast_repair_activation	19	19	THBS1;WISP1;IL11;INHBA;HIF1A;TNFRSF12A;CCL20;MMP10;COL10A1;MMP3;SERPINE1;IL6;PTGS2;WNT5A;TNFAIP6;PDPN;ITGA5;ADAM12;PLOD2
stromal_ligand_panel	10	10	TNC;IL11;IL6;INHBA;THBS1;SERPINE1;CCL20;WNT5A;ADAM12;PTGS2
vascular_perivascular_receiver_coupling	20	20	ITGB1;SDC4;ITGA5;ITGAV;ITGA8;CD47;IL11RA;IL6ST;IL6R;ENG;ACVR1;ACVR1B;ACVR2A;ACVR2B;TGFBR3;BAMBI;LRP1;PDGFRB;KDR;FLT1
d7_acute_wound_alignment	100	96	CTHRC1;PPP1R14B;GAPDH;C11orf96;TNC;TPM2;PPIB;P4HB;LUM;THY1;S100A11;LGALS1;MIF;ARPC1B;NME2;ENO1;ACTG1;PKM;YBX1;TIMP1;ACTB;TPM4;TMSB10;RCN3;PRDX4;PFN1;COL6A3;COL5A2;MYDGF;TUBA1C;COL1A1;BRI3;TAGLN;PRELID1;SEC61G;ADAM12;SPHK1;SERF2;FKBP11;OST4;SRM;POSTN;BASP1;KDELR2;SEC61B;SSR4;OSTC;INHBA;TUBA1B;SSR3;AP2S1;CXCL8;RAC1;RABAC1;S100A16;TGFBI;CTSB;PLIN2;TMSB4X;SH3BGRL3;PGAM1;MAP2K2;TUBB3;CKAP4;NME1;MZT2B;GSTP1;LSM7;CFL1;TNFRSF12A;UQCR10;FN1;UQCR11;PSMA7;LDHB;PDIA6;RCN1;EIF5A;GUK1;FAP;COL3A1;COX8A;CALR;TPI1;ATOX1;RAB13;VKORC1;VDAC1;MYL12A;EEF1B2;AP2M1;COTL1;PTMS;C1QBP;GSTO1;GNG5
negative_housekeeping_control	8	8	ACTB;GAPDH;RPLP0;RPS18;B2M;PPIA;TBP;HPRT1
