leiden	score_marker_keratinocyte	score_marker_fibroblast_stromal	score_marker_myeloid	score_marker_endothelial	score_marker_pericyte_smc	score_marker_t_nk	score_marker_b_plasma	score_marker_melanocyte	score_marker_schwann	assigned_broad_cell_type	assigned_score
0	0.608608690722265	-0.4933426431265153	-0.21035015883095778	-0.31612638631342216	-0.2446432877369754	-0.1459641563218288	-0.12527431598269037	-0.035930057395392734	-0.04269753963669001	keratinocyte	0.608608690722265
1	-0.34058643064066013	1.7543189679315325	-0.14492589883238075	-0.3025145950211716	0.09894615985035118	-0.1042226609528673	-0.10496937828299087	-0.048176206167190136	-0.03463628977856768	fibroblast_stromal	1.7543189679315325
2	-0.3966650604926921	-0.4024388196626937	-0.20194287176175754	1.4706822226381409	0.018917571822105968	-0.1368134623058415	-0.02454345604927358	-0.029273567356998823	-0.023018647269616135	endothelial	1.4706822226381409
3	-0.5283038043398949	-0.39315319806795973	1.9822188550499316	-0.26855805725778803	-0.23634527460227855	-0.10043211288246015	-0.05560937902612686	-0.050553349327433585	0.08242435157672945	myeloid	1.9822188550499316
4	-0.43525328937667584	0.918406862087802	-0.1467192978046102	-0.2060021528741638	1.6748080379195736	-0.1319429034961693	-0.076791020267076	0.48606939094737267	0.2781655481868849	pericyte_smc	1.6748080379195736
5	-0.5212357839705872	-0.44778047046131947	-0.12760691813894134	-0.29866465549529786	-0.24308977311819038	2.1090304250458223	-0.02803144017789184	-0.049291362862261635	-0.026741880520462752	t_nk	2.1090304250458223
6	-0.6023685275638292	-0.36375424021657554	-0.1057723512506396	-0.28664090881521903	-0.21874892751678585	-0.03227290050220163	3.645775400926758	-0.043551175977285625	-0.018604407169803876	b_plasma	3.645775400926758
7	-0.41741540070181987	-0.3691165820265484	-0.11182290197729833	-0.2953252752856826	-0.23929380259088578	-0.10844953627778954	-0.08173124246459715	-0.05278173308538836	-0.048625576111131476	schwann	-0.048625576111131476
8	-0.46775269582225343	-0.33102384893994447	-0.19545888538560585	1.018161653766756	-0.23110283272808338	-0.1340297374258467	-0.1098551524397302	-0.024266730324830857	-0.032898274997725296	endothelial	1.018161653766756
9	0.024204598847571063	0.2847247928040087	-0.10780390410481094	0.29590473216093804	0.36422590963568535	-0.07216800101529558	0.8145848915024138	-0.0404489732046928	-0.05447439689073484	b_plasma	0.8145848915024138
10	0.5514434411644303	-0.5410399551920805	-0.20883301753367137	-0.32245793053114646	-0.2904061108642854	-0.14697433071209146	-0.12164562941392969	-0.03928676751622134	0.3765981248452221	keratinocyte	0.5514434411644303
11	1.011979238755392	-0.324254895435866	0.3262542655811374	-0.34127940692094655	-0.18422864631958094	-0.15057348032210968	-0.04181072907626299	-0.05278173308538836	-0.054474396890734834	keratinocyte	1.011979238755392
