condition	sample	feature	n_high	n_low	mean_high	mean_low	delta_high_minus_low
diabetic	07-d	TNC	145	696	2.323280531373517	2.040794178158387	0.28248635321513005
diabetic	07-d	IL11	145	696	0.9097028025265398	0.03395255560847534	0.8757502469180645
diabetic	07-d	IL6	145	696	1.1775607326935078	0.15690411301864976	1.020656619674858
diabetic	07-d	INHBA	145	696	0.8738137006759643	0.16206567674532704	0.7117480239306373
diabetic	07-d	THBS1	145	696	1.1622673980120954	0.422767269285931	0.7395001287261644
diabetic	07-d	SERPINE1	145	696	0.3461713827889541	0.05052203196903755	0.29564935081991656
diabetic	07-d	CCL20	145	696	0.099748419893199	0.0	0.099748419893199
diabetic	07-d	WNT5A	145	696	0.9517726618668129	0.3669624451933236	0.5848102166734892
diabetic	07-d	ADAM12	145	696	0.7280217758540449	0.057659544221971226	0.6703622316320736
diabetic	07-d	PTGS2	145	696	0.18528441683999422	0.06145765863615891	0.12382675820383532
diabetic	07-d	candidate_ligand_panel	145	696	0.875762382252463	0.33530854728372617	0.5404538349687368
diabetic	09-d	TNC	11	43	1.2709144733168862	1.14097510520802	0.1299393681088663
diabetic	09-d	IL11	11	43	0.113727713173086	0.0	0.113727713173086
diabetic	09-d	IL6	11	43	0.5056421160697937	0.031723251176434895	0.4739188648933588
diabetic	09-d	INHBA	11	43	1.1057035435329785	0.191237889056982	0.9144656544759965
diabetic	09-d	THBS1	11	43	1.9291851087050005	0.42397795167080193	1.5052071570341985
diabetic	09-d	SERPINE1	11	43	0.34584540128707886	0.2183458458545596	0.12749955543251926
diabetic	09-d	CCL20	11	43	0.0881928422234275	0.0	0.0881928422234275
diabetic	09-d	WNT5A	11	43	0.8870422677560286	0.08157382593598476	0.8054684418200438
diabetic	09-d	ADAM12	11	43	0.82721301371401	0.20457962432573007	0.62263338938828
diabetic	09-d	PTGS2	11	43	0.04443305188959295	0.0	0.04443305188959295
diabetic	09-d	candidate_ligand_panel	11	43	0.7117899531667883	0.2292413493228513	0.48254860384393694
diabetic	10-d	TNC	11	6	2.8148236491463403	1.5518011649449666	1.2630224842013738
diabetic	10-d	IL11	11	6	0.8047505833885886	0.0	0.8047505833885886
diabetic	10-d	IL6	11	6	0.7827919829975475	0.0	0.7827919829975475
diabetic	10-d	INHBA	11	6	1.4828446507453918	0.28858742117881775	1.194257229566574
diabetic	10-d	THBS1	11	6	1.9523032686927102	1.012411892414093	0.9398913762786172
diabetic	10-d	SERPINE1	11	6	0.889267772436142	0.0	0.889267772436142
diabetic	10-d	CCL20	11	6	0.03030279278755188	0.0	0.03030279278755188
