feature	dropped_sample	delta_healer_minus_nonhealer	same_direction_as_full
SRRS_no_ligand_panel_existing	G15	1.1489349287774342	True
SRRS_no_ligand_panel_existing	G2	1.221175331202419	True
SRRS_no_ligand_panel_existing	G23	1.1146337803214272	True
SRRS_no_ligand_panel_existing	G33	1.1469193890714706	True
SRRS_no_ligand_panel_existing	G34	1.1507241439110774	True
SRRS_no_ligand_panel_existing	G39	1.3892909781377114	True
SRRS_no_ligand_panel_existing	G4	1.2073522950856734	True
SRRS_no_ligand_panel_existing	G42	1.288227787515937	True
SRRS_no_ligand_panel_existing	G45	1.1068496982958884	True
SRRS_no_ligand_panel_existing	G49	1.1804371830576974	True
SRRS_no_ligand_panel_existing	G6	1.1605918253511753	True
SRRS_no_ligand_panel_existing	G7	1.1569720845755107	True
SRRS_no_ligand_panel_existing	G8	1.2608707078400228	True
SRRS_no_ligand_panel_existing	G9	1.0888368839019043	True
