condition	sample	feature	n_high	n_low	mean_high	mean_low	delta_high_minus_low
diabetic	07-d	TNC	345	570	2.588248262543609	2.034947280925617	0.5533009816179923
diabetic	07-d	IL11	345	570	0.25976999583451643	0.1559752809373956	0.10379471489712083
diabetic	07-d	IL6	345	570	0.4802253413027611	0.35871316027223016	0.12151218103053096
diabetic	07-d	INHBA	345	570	0.43184843788976257	0.31922428587026763	0.11262415201949494
diabetic	07-d	THBS1	345	570	0.8998895753984866	0.5448688076253523	0.3550207677731343
diabetic	07-d	SERPINE1	345	570	0.1861545840035314	0.08007988333702087	0.10607470066651054
diabetic	07-d	CCL20	345	570	0.019411409592282946	0.007888244955163253	0.011523164637119693
diabetic	07-d	WNT5A	345	570	0.4372403016988782	0.5445159424815261	-0.10727564078264795
diabetic	07-d	ADAM12	345	570	0.4646489094996798	0.14987723001262598	0.3147716794870538
diabetic	07-d	PTGS2	345	570	0.06874574664710224	0.1041504939397176	-0.03540474729261536
diabetic	07-d	candidate_ligand_panel	345	570	0.583618256441061	0.43002406103569163	0.1535941954053694
diabetic	09-d	TNC	59	21	1.4944277233996635	1.0726826162565322	0.4217451071431313
diabetic	09-d	IL11	59	21	0.02120347194752451	0.0	0.02120347194752451
diabetic	09-d	IL6	59	21	0.1644732699555866	0.0	0.1644732699555866
diabetic	09-d	INHBA	59	21	0.5906741151870307	0.08697161788032168	0.503702497306709
diabetic	09-d	THBS1	59	21	1.0228090341818534	0.491171916325887	0.5316371178559665
diabetic	09-d	SERPINE1	59	21	0.14048124925564912	0.3172056192443484	-0.1767243699886993
diabetic	09-d	CCL20	59	21	0.024364666918576774	0.0	0.024364666918576774
diabetic	09-d	WNT5A	59	21	0.3048714480157626	0.0	0.3048714480157626
diabetic	09-d	ADAM12	59	21	0.6040349739082789	0.33902661005655926	0.2650083638517196
diabetic	09-d	PTGS2	59	21	0.02789818432371495	0.0	0.02789818432371495
diabetic	09-d	candidate_ligand_panel	59	21	0.43952381370936405	0.23070583797636487	0.20881797573299918
diabetic	10-d	TNC	20	9	2.690505862236023	2.1665256023406982	0.5239802598953247
diabetic	10-d	IL11	20	9	0.3580673158168793	0.0	0.3580673158168793
diabetic	10-d	IL6	20	9	0.393740214407444	0.0	0.393740214407444
diabetic	10-d	INHBA	20	9	0.9484477311372757	0.5840566953023275	0.36439103583494814
diabetic	10-d	THBS1	20	9	1.3094339534640311	1.4767189688152738	-0.16728501535124263
diabetic	10-d	SERPINE1	20	9	0.5501604929566384	0.06744271516799927	0.4827177777886391
diabetic	10-d	CCL20	20	9	0.016666536033153535	0.0	0.016666536033153535
diabetic	10-d	WNT5A	20	9	1.348645693063736	1.1120294200049505	0.23661627305878552
diabetic	10-d	ADAM12	20	9	0.37917716056108475	0.0	0.37917716056108475
diabetic	10-d	PTGS2	20	9	0.2356078565120697	0.1018052962091234	0.1338025603029463
diabetic	10-d	candidate_ligand_panel	20	9	0.8230452816188334	0.5508578697840373	0.2721874118347961
diabetic	13-d	TNC	334	120	2.2366806238354324	2.149758818745613	0.0869218050898195
diabetic	13-d	IL11	334	120	0.9413280086424536	0.425426239023606	0.5159017696188476
diabetic	13-d	IL6	334	120	0.7329876474188474	0.4099605987469355	0.32302704867191184
diabetic	13-d	INHBA	334	120	0.9461208413282555	0.7743328392505646	0.17178800207769085
diabetic	13-d	THBS1	334	120	1.6317195287364685	1.316548735400041	0.3151707933364276
diabetic	13-d	SERPINE1	334	120	0.928473339510892	0.33636764412124953	0.5921056953896424
diabetic	13-d	CCL20	334	120	0.03789897851958246	0.005219514171282451	0.03267946434830001
diabetic	13-d	WNT5A	334	120	1.3592943393006296	1.1756289429962634	0.18366539630436618
diabetic	13-d	ADAM12	334	120	0.34440556315783255	0.14988158444563549	0.19452397871219707
diabetic	13-d	PTGS2	334	120	0.5482797270228049	0.6946715792020162	-0.14639185217921125
diabetic	13-d	candidate_ligand_panel	334	120	0.9707188597473199	0.7437796496103207	0.22693921013699914
diabetic	16-d	TNC	163	45	0.2694047371302646	0.22744098636839125	0.041963750761873336
diabetic	16-d	IL11	163	45	0.559643053752513	0.2456156571706136	0.3140273965818994
diabetic	16-d	IL6	163	45	1.400254588825571	0.7341223862436083	0.6661322025819628
diabetic	16-d	INHBA	163	45	1.7427951280324736	1.1378964198960198	0.6048987081364539
diabetic	16-d	THBS1	163	45	1.2239924382212704	0.34671495821740894	0.8772774800038614
diabetic	16-d	SERPINE1	163	45	0.42778615854634827	0.4470959742863973	-0.01930981574004903
diabetic	16-d	CCL20	163	45	0.5390110209675655	0.34429904884762236	0.19471197211994312
diabetic	16-d	WNT5A	163	45	1.337003705143197	0.9956686099370321	0.341335095206165
diabetic	16-d	ADAM12	163	45	0.8349108674043527	0.5361083481046889	0.29880251929966384
diabetic	16-d	PTGS2	163	45	0.3059528372221929	0.32249518500434027	-0.01654234778214736
diabetic	16-d	candidate_ligand_panel	163	45	0.8640754535245749	0.5337457574076123	0.3303296961169626
non diabetic	19b-n	TNC	109	135	2.576609988551621	1.9689638928130822	0.6076460957385388
non diabetic	19b-n	IL11	109	135	0.3219163707636912	0.09556704053172359	0.22634933023196757
non diabetic	19b-n	IL6	109	135	0.16499280628808047	0.0	0.16499280628808047
non diabetic	19b-n	INHBA	109	135	0.6164606735793823	0.38604314238936815	0.23041753119001412
non diabetic	19b-n	THBS1	109	135	1.5797902651883047	0.9927657692520707	0.587024495936234
non diabetic	19b-n	SERPINE1	109	135	0.6863994174594179	0.12084899920004386	0.565550418259374
non diabetic	19b-n	CCL20	109	135	0.016493132218308407	0.05003070389782941	-0.033537571679521004
non diabetic	19b-n	WNT5A	109	135	1.4736786183960942	1.703243832234983	-0.22956521383888884
non diabetic	19b-n	ADAM12	109	135	0.20315127689904028	0.04397059988092493	0.15918067701811534
non diabetic	19b-n	PTGS2	109	135	0.19869638172858353	0.06723858073905663	0.13145780098952692
non diabetic	19b-n	candidate_ligand_panel	109	135	0.7838188931072523	0.5428672560939083	0.240951637013344
non diabetic	19c-n	TNC	47	155	1.37828025982735	1.0049911987396978	0.37328906108765225
non diabetic	19c-n	IL11	47	155	0.7426848639833167	0.30014878280701174	0.44253608117630494
non diabetic	19c-n	IL6	47	155	1.459164171776873	0.8990609307442942	0.5601032410325789
non diabetic	19c-n	INHBA	47	155	0.9222707266503192	0.5390485232876193	0.38322220336269985
non diabetic	19c-n	THBS1	47	155	1.4190253742197727	0.8733687662309216	0.5456566079888511
non diabetic	19c-n	SERPINE1	47	155	0.8517765700817108	0.5432109252099068	0.30856564487180405
non diabetic	19c-n	CCL20	47	155	0.4787046142080997	0.5572478371281777	-0.07854322292007804
non diabetic	19c-n	WNT5A	47	155	0.8301844920249696	0.6960653839572783	0.13411910806769123
non diabetic	19c-n	ADAM12	47	155	0.32469096209140536	0.1381199513712237	0.18657101072018165
non diabetic	19c-n	PTGS2	47	155	0.6433837851311298	0.46824417652622347	0.17513960860490635
non diabetic	19c-n	candidate_ligand_panel	47	155	0.9050165819994944	0.6019506476002356	0.3030659343992588
