query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	9	TGF-beta human HMEC-TR mammary epithelial cell line GDS4071 ligand:245	3.487999367938642e-28	21.962442163100057	1388.5326729770031	SDC4;ARPC1B;GSTP1;SERPINE1;TNC;PTGS2;THBS1;MYL12A;LGALS1;GNG5;BASP1;S100A16;TMSB4X;SH3BGRL3;SEC61B;TIMP1;RABAC1;S100A11;CTSB;TNFRSF12A;GSTO1;FN1;PDIA6;COL1A1;IL6;OSTC;RAB13;TGFBI;ITGA5;CALR;PFN1	1.0037687069956759e-26
SRRS_all_modules	135	Gene_Perturbations_from_GEO_up	39	TNF Stimulation of gene product human GSE2638 sample 3111	2.179548568064621e-25	17.37743972445465	986.7867693991285	CXCL8;SDC4;SERPINE1;TNC;PLOD2;HIF1A;PRDX4;BASP1;PDPN;CFL1;COTL1;AP2S1;SH3BGRL3;ITGAV;TIMP1;RAC1;S100A11;EIF5A;CCL20;GSTO1;SPHK1;CKAP4;NME1;PKM;BAMBI;RAB13;TGFBI;ITGA5;CALR;P4HB;CD47	1.302140554766812e-23
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	15	fibroblast growth factor 2 (FGF2) human embryonic fibroblast GDS2422 ligand:9	1.428840097677694e-21	15.874188311688311	761.920146389113	ITGB1;TAGLN;SERPINE1;ENO1;THY1;YBX1;ACTB;MYL12A;ACTG1;SRM;TUBA1B;TUBB3;C1QBP;TMSB4X;COTL1;SH3BGRL3;TIMP1;RAC1;EIF5A;IL11;MAP2K2;TPM4;TNFRSF12A;GSTO1;MIF;PLIN2;PFN1	2.467130568656818e-20
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	28	TGF-beta1 mouse renal mesangial MES-13 cells GDS1892 ligand:15	2.1198045563724718e-16	13.050248514971512	470.9839595145499	EIF5A;TAGLN;TPM4;TNFRSF12A;GSTO1;SERPINE1;FN1;NME2;THBS1;ACTB;MYL12A;WISP1;ACTG1;NME1;SRM;EEF1B2;LGALS1;BASP1;TMSB4X;CFL1;PLIN2;TMSB10	1.9608192146445364e-15
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	35	transforming growth factor-beta human fibroblasts GDS4574 ligand:18	4.5817007361572575e-14	10.546997993517518	323.9417729071543	PDGFRB;IL11;TAGLN;TNFRSF12A;TNFAIP6;SPHK1;SERPINE1;FN1;YBX1;PTGS2;HIF1A;NME1;COL1A1;IL6;FAP;BASP1;COL5A2;COL6A3;TGFBI;ITGA5;TIMP1	3.390458544756371e-13
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_down	13	transforming growth factor-beta human fibroblasts GDS4574 ligand:18	3.6988648392317415e-14	13.737762237762238	424.8837817475168	LUM;ENO1;ACTB;MYL12A;ACTG1;EEF1B2;TGFBR3;TUBA1B;LGALS1;PKM;TUBB3;TMSB4X;CFL1;RAB13;SH3BGRL3;PPIB;TMSB10;GAPDH	6.970937581629051e-13
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	46	Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:58	1.0577587780514369e-11	11.478260869565217	290.08186523384785	IL11;FLT1;SDC4;TNFAIP6;CCL20;MMP3;TNC;PTGS2;HIF1A;THBS1;MMP10;EEF1B2;IL6;PDPN;TIMP1;CD47	5.955641815550481e-11
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	54	TGF-beta human prostate fibroblasts GSE68164 ligand:240	1.3522499517012522e-10	10.532188841201716	239.33431332361408	IL11;TAGLN;POSTN;TNFAIP6;SERPINE1;TNC;FN1;PLOD2;RCN3;IL6;TUBB3;COL6A3;SH3BGRL3;PPIB;CTHRC1	6.485791435011562e-10
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	63	Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:57	1.643268731476476e-09	10.748633879781421	217.40808639765658	SDC4;CCL20;SSR3;FN1;PTGS2;HIF1A;THBS1;ACTB;COL1A1;EEF1B2;LGALS1;CALR;TIMP1	6.755660340514401e-09
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_down	44	Interleukin-1 beta mouse embryonic fibroblasts from IRAK-4 kinase deficient mutants GDS2641 ligand:60	1.4932805415839398e-09	9.664849657112713	196.41188170795513	LRP1;TPM2;PGAM1;THBS1;CKAP4;COL1A1;EEF1B2;LGALS1;SH3BGRL3;SEC61B;P4HB;TMSB10;GAPDH;AP2M1	8.314857561092392e-09
