query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	1	Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:58	1.4352271675051487e-17	47.62172413793103	1846.8953947732432	IL11;FLT1;TNFAIP6;SDC4;CCL20;MMP3;TNC;PTGS2;THBS1;HIF1A;MMP10;IL6;PDPN;CD47	2.7556361616098855e-15
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	2	Interleukin-1B human myometrium GSE68171 ligand:241	1.3289674795666659e-09	19.209443573667713	392.6191956388459	IL11;IL6;TNFAIP6;SDC4;CCL20;WNT5A;SERPINE1;INHBA;PTGS2;MMP10	9.529184486173371e-08
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	3	interleukin-1 rat chondrocyte GDS2472 ligand:228	1.4889350759645893e-09	23.36916996047431	474.98316280344113	IL6;TNFRSF12A;SDC4;CCL20;MMP3;PDPN;CD47;IL6ST;PTGS2	9.529184486173371e-08
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	4	Interleukin 1, beta human amnion mesenchymal cells (AMC) GDS4595 ligand:24	9.192971865817866e-09	15.551485227363223	287.7775370765505	IL6;TNFAIP6;SDC4;CCL20;BAMBI;PDPN;TNC;INHBA;PTGS2;MMP10	3.5538921204155984e-07
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	5	Interleukin-1 human epidermal keratinocyte GDS3011 ligand:227	9.254927396915621e-09	18.771019108280253	347.2283713157661	TNFAIP6;SDC4;CCL20;BAMBI;SERPINE1;ITGA5;INHBA;CD47;HIF1A	3.5538921204155984e-07
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	6	TGF-beta human A549 epithelial cells GDS3710 ligand:252	1.1144803274246061e-08	18.35514018691589	336.12469638044473	IL11;TNFRSF12A;TNFAIP6;SDC4;SERPINE1;ITGAV;INHBA;THBS1;MMP10	3.5663370477587395e-07
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	7	TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:256	1.8533404423836964e-08	17.26099706744868	307.3094596691685	IL11;IL6;TNFAIP6;WNT5A;ADAM12;ITGAV;INHBA;PTGS2;THBS1	5.083448070538139e-07
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	8	transforming growth factor-beta human fibroblasts GDS4574 ligand:18	2.4780302292997416e-08	16.66402266288952	291.8406410178668	PDGFRB;IL11;IL6;TNFRSF12A;TNFAIP6;SERPINE1;ITGA5;PTGS2;HIF1A	5.94727255031938e-07
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	9	TGF-beta human A549 epithelial cells GDS3710 ligand:251	3.6758781038721726e-08	15.884594594594594	271.9266069094861	ACVR1;IL11;TNFRSF12A;SDC4;SERPINE1;PLOD2;ITGAV;THBS1;MMP10	7.841873288260634e-07
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	10	Interleukin 1, beta human amnion mesenchymal cells (AMC) GDS4595 ligand:23	5.352640065119736e-08	15.173643410852714	254.0536899204188	IL6;LRP1;TNFAIP6;SDC4;CCL20;PDPN;TNC;INHBA;PTGS2	1.0277068925029893e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	11	TGF-beta human A549 epithelial cells GDS3710 ligand:253	8.878023144040015e-08	17.566246232838488	285.22492886479967	IL11;TNFRSF12A;TNFAIP6;SERPINE1;ITGA5;INHBA;THBS1;MMP10	1.4204837030464024e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	12	TGF-beta human HMEC-TR mammary epithelial cell line GDS4071 ligand:245	8.878023144040015e-08	17.566246232838488	285.22492886479967	IL6;TNFRSF12A;SDC4;SERPINE1;TNC;ITGA5;PTGS2;THBS1	1.4204837030464024e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	13	TGF-beta human A549 epithelial cells GDS3710 ligand:254	1.1446999159129371e-07	16.970115438558636	271.2325596732118	IL11;TNFRSF12A;TNFAIP6;SERPINE1;ITGA5;INHBA;THBS1;MMP10	1.6906337219637227e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	14	interleukin-1&Icirc;&sup2; human fibroblast GDS4539 ligand:208	1.4448858502115663e-07	13.434633027522937	211.59634785338704	IL11;IL6;TNFAIP6;CCL20;BAMBI;MMP3;PDPN;TNC;PTGS2	1.981557737433005e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	15	interleukin-17A human keratinocyte GDS4601 ligand:185	2.1309759035570507e-07	15.591861042183623	239.51461671799598	ACVR1;CCL20;MMP3;WNT5A;TNC;IL6ST;PTGS2;MMP10	2.7276491565530252e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	16	TGF-beta human A549 epithelial cells GDS3710 ligand:250	7.05491786316618e-07	13.226819793953725	187.3495788505183	ACVR1;IL11;TNFRSF12A;SDC4;SERPINE1;PLOD2;THBS1;MMP10	8.465901435799416e-06
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	17	estradiol mouse mammary gland GSE48884 ligand:115	1.8012817608989596e-06	11.611119369704177	153.58041589937906	TNFRSF12A;LRP1;TNFAIP6;MMP3;PDPN;ITGA8;PLOD2;THBS1	2.0343888123094132e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	18	estrogen mouse beta null aorta GDS3064 ligand:27	1.9759191129740065e-06	14.239755794701987	187.0317434646521	TNFRSF12A;SDC4;MMP3;PDPN;PLOD2;ITGA5;THBS1	2.08400044404374e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	19	interleukin-15 human PBMC GSE59184 ligand:145	2.062292106084951e-06	14.144634046052632	185.1771997511173	IL6;TNFAIP6;SDC4;INHBA;CD47;THBS1;HIF1A	2.08400044404374e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	20	interleukin-15 human PBMC GSE59184 ligand:144	2.543102950836193e-06	13.68720143312102	176.32024781429328	IL6;TNFAIP6;CCL20;INHBA;CD47;PTGS2;HIF1A	2.4413788328027455e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	21	angiotensin II mouse suprarenal aorta GSE17901 ligand:260	6.703737584523646e-06	11.74417808219178	139.9065771229556	IL6;TNFAIP6;SERPINE1;PLOD2;PTGS2;THBS1;WISP1	6.12913150585019e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	22	TGF-beta human prostate fibroblasts GSE68164 ligand:240	7.923170436401275e-06	14.815176558978212	174.01490264331213	IL11;IL6;TNFAIP6;SERPINE1;TNC;PLOD2	6.767801657573463e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	23	interferon-y human keratinocyte GDS4601 ligand:177	8.107262402301545e-06	11.39419880319149	133.5713474965794	IL6;TNFAIP6;CCL20;MMP3;CD47;IL6ST;MMP10	6.767801657573463e-05
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	24	TGF-beta mouse embryonic fibroblasts GDS4898 ligand:244	1.4658775354410441e-05	18.669871794871796	207.80447408303743	IL6;MMP3;COL10A1;PTGS2;MMP10	0.00011727020283528353
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	25	TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:255	1.7681999717739116e-05	10.055294117647058	110.03471551513763	IL11;IL6;TNFAIP6;TNC;ITGAV;INHBA;PTGS2	0.0001357977578322364
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	26	TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:257	2.4646274898524795e-05	12.037955310682584	127.73335689233696	IL11;TNFAIP6;WNT5A;ADAM12;ITGAV;THBS1	0.00018200326078910618
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	27	TNFSF11 (RANKL) human monocyte-derived macrophage GSE72292 ligand:239	3.1195426097950775e-05	11.525513196480938	119.57995485619706	PDGFRB;IL6;TNFAIP6;WNT5A;THBS1;ACVR2A	0.00022183414114098328
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	28	estradiol human MCF-7 cells GDS4052 ligand:267	4.0422531996244875e-05	10.985174825174825	111.12738196858184	TGFBR3;CCL20;WNT5A;PLOD2;PTGS2;MMP10	0.0002771830765456791
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	29	Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:57	5.006563387566923e-05	14.313242538394668	141.7322429647507	SDC4;CCL20;PTGS2;THBS1;HIF1A	0.0003314690242802928
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	30	estrogen mouse alpha null aorta GDS3064 ligand:26	8.342415687301494e-05	19.722732919254657	185.22747886625268	BAMBI;SERPINE1;PLOD2;PTGS2	0.0005339146039872956
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	31	calcitriol human RWPE1 prostate epithelial cell line GDS3761 ligand:192	8.809373963618074e-05	9.496242424242425	88.66745143455249	WNT5A;SERPINE1;PDPN;PTGS2;HIF1A;IL6R	0.0005456128390369904
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	32	17beta-estradiol mouse bone marrow (BM) c-kit+ stem cells (SCs) GDS3816 ligand:28	9.735850295331242e-05	9.318895763921942	86.07966977706731	PDGFRB;IL6;SDC4;SERPINE1;PTGS2;THBS1	0.0005841510177198745
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	33	interleukin-17 human keratinocyte GDS4601 ligand:180	0.00010888197256854821	9.124009324009323	83.25883034408396	IL11;MMP3;ITGA5;INHBA;PTGS2;MMP10	0.0006334951131260987
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	34	CHEBI:60311 human Kidney GDS3945 ligand:170	0.00038528769857985135	9.113007979216924	71.64209661852355	SDC4;SERPINE1;IL6ST;ACVR1B;HIF1A	0.0021757422978626903
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	35	Interleukin-1 beta mouse embryonic fibroblasts from IRAK-4 kinase deficient mutants GDS2641 ligand:60	0.000570573214126716	8.336875212512751	62.267029362104	TNFAIP6;SDC4;SERPINE1;PTGS2;HIF1A	0.003082532473839301
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	36	TGF-beta human A549 epithelial cells GDS3710 ligand:248	0.000577974838844869	8.31242583488727	61.977282618849294	ACVR1;IL11;TNFRSF12A;BAMBI;SERPINE1	0.003082532473839301
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	37	triiodothyronine (T3) human HepG2 cells GDS3945 ligand:65	0.0006560334112714369	8.075465480309772	59.18749976518893	SDC4;SERPINE1;IL6ST;HIF1A;ENG	0.003404281485516646
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	38	Interleukin-6 mouse macrophage (SOCS3 KO) GSE411 ligand:234	0.0017211146919005338	8.62616310892173	54.90365735794816	SDC4;IL6ST;HIF1A;ENG	0.008696158443286906
SRRS_repair_ligand_receiver_core	39	Ligand_Perturbations_from_GEO_up	39	17beta-estradiol mouse bone marrow-derived CD44+ stromal cells (StroCs) GDS3816 ligand:29	0.0017794818253966448	6.405265231092437	40.55450808311388	PDGFRB;IL6;PLOD2;PTGS2;THBS1	0.00876052590964502
