query	query_gene_n	library	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
SRRS_all_modules	135	Gene_Perturbations_from_GEO_up	1	MYC KD human GSE22139 sample 712	6.288497027920417e-42	33.99956681828027	3225.5338656498984	ITGB1;TAGLN;CXCL8;ARPC1B;SERPINE1;TNC;HIF1A;ACTB;MYL12A;ACTG1;TUBA1C;TUBA1B;LGALS1;GNG5;BASP1;TUBB3;SEC61G;TMSB4X;CFL1;SH3BGRL3;ITGAV;TIMP1;RAC1;TMSB10;S100A11;AP2M1;CTHRC1;TPM4;FN1;INHBA;PDIA6;COL1A1;COL3A1;PKM;RAB13;COL6A3;TGFBI;P4HB;PPIB;PFN1	7.780509423039292e-39
SRRS_all_modules	135	Gene_Perturbations_from_GEO_up	2	Prdm16 DEPLETION mouse GSE35011 sample 487	6.678548860977932e-42	36.11029411764706	3423.605183662115	SERPINE1;TNC;ENO1;THY1;YBX1;PTGS2;ACTB;ACTG1;SRM;TUBA1B;LGALS1;BASP1;C1QBP;TMSB4X;PDPN;SH3BGRL3;TIMP1;TPM4;TPM2;PGAM1;MMP3;SSR3;NME2;MIF;INHBA;CKAP4;COL1A1;IL6;COL3A1;RCN1;PKM;OSTC;COL5A2;COL6A3;CALR;P4HB;PPIB;PFN1;GAPDH	7.780509423039292e-39
SRRS_all_modules	135	Gene_Perturbations_from_GEO_down	1	LMNA OE human GSE40404 sample 2715	3.4709588001590423e-42	34.57564413124862	3300.734236999775	FKBP11;SDC4;GSTP1;TNC;PLOD2;ENO1;PTGS2;HIF1A;ACTB;ACTG1;EEF1B2;PRDX4;LGALS1;S100A16;SEC61G;RABAC1;TMSB10;CTHRC1;POSTN;TPI1;PGAM1;WNT5A;MIF;PDIA6;CKAP4;COL1A1;RCN3;IL6;COL3A1;FAP;OSTC;COL5A2;ADAM12;COL6A3;KDELR2;TGFBI;ITGA5;P4HB;PPIB;GAPDH	7.851308805959753e-39
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	1	17beta-estradiol mouse uterus GSE38800 ligand:120	9.309011918541823e-41	26.840632992327365	2474.035503308194	TAGLN;ARPC1B;GSTP1;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;SRM;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;OSTC;VDAC1;CALR;P4HB;PPIB	2.411034086902332e-38
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	2	17beta-estradiol mouse uterus GSE38800 ligand:122	6.2096964641984214e-40	25.54025088296188	2305.704679143307	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;PTMS;EEF1B2;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;CTSB;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;RCN1;VDAC1;CALR;P4HB;PPIB	8.041556921136956e-38
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	3	estradiol mouse uterus GSE24525 ligand:140	1.0023262121306822e-39	26.48919887629565	2378.690195921905	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;SRM;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;SH3BGRL3;SEC61B;SERF2;COX8A;EIF5A;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;RCN1;OSTC;VDAC1;CALR;P4HB;PPIB	8.653416298061556e-38
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	4	estradiol human endometrium GDS3313 ligand:270	5.63777582896304e-39	29.706273320895523	2616.270970877913	FKBP11;TNC;UQCR11;THY1;YBX1;HIF1A;LDHB;TUBA1C;TUBA1B;PRDX4;LGALS1;BASP1;SEC61G;CFL1;SEC61B;TMSB10;COX8A;TPI1;SSR4;PGAM1;SSR3;FN1;MIF;PDIA6;NME1;COL1A1;LSM7;COL3A1;RCN1;OSTC;COL5A2;ADAM12;COL6A3;KDELR2;TGFBI;P4HB;PPIB;PFN1;GAPDH	3.4397742588096496e-37
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	5	estradiol (E2) mouse uterine tissue GSE61921 ligand:289	6.640490847122876e-39	25.18064516129032	2213.570907076858	ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;PTMS;SRM;EEF1B2;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;COTL1;SH3BGRL3;SEC61B;SERF2;COX8A;EIF5A;PPP1R14B;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;OSTC;VDAC1;CALR;P4HB;PPIB	3.4397742588096496e-37
SRRS_all_modules	135	Gene_Perturbations_from_GEO_down	2	Pfkl OE mouse GSE4695 sample 230	3.844305929973902e-39	25.55212716222534	2260.193619352747	TAGLN;GSTP1;TNC;THY1;THBS1;WISP1;PTMS;SRM;TUBA1B;BASP1;TMSB4X;CFL1;SEC61B;TMSB10;S100A11;CTHRC1;PDGFRB;EIF5A;PRELID1;POSTN;TPI1;TPM4;TPM2;PGAM1;SSR3;PDIA6;CKAP4;COL1A1;RCN3;COL3A1;RCN1;PKM;OSTC;COL5A2;ADAM12;COL6A3;ITGA5;CALR;P4HB;PPIB;PFN1;GAPDH	4.347910006800483e-36
SRRS_all_modules	135	Ligand_Perturbations_from_GEO_up	6	17beta-estradiol mouse uterus GSE38800 ligand:124	2.265854952072729e-37	24.039878591176823	2028.429574633588	TAGLN;ARPC1B;UQCR11;UQCR10;YBX1;PSMA7;ACTG1;TUBA1C;TUBA1B;LGALS1;GNG5;SEC61G;C1QBP;TMSB4X;COTL1;SH3BGRL3;SEC61B;SERF2;CTSB;COX8A;EIF5A;VKORC1;PPP1R14B;TPI1;TPM4;SSR4;LUM;GSTO1;TPM2;PGAM1;NME2;MIF;PDIA6;CKAP4;NME1;COL1A1;RCN3;COL3A1;VDAC1;CALR;P4HB	9.780940543113945e-36
