sample_name	orig_ident	condition	spots_used	n_wanted_genes	n_present_genes	present_gene_fraction
Donor1_Skin	P17401_1001	Skin	810	156	155	0.9935897435897436
Donor1_Wound1	P17401_1002	Wound1	1832	156	155	0.9935897435897436
Donor1_Wound7	P17401_1003	Wound7	1689	156	155	0.9935897435897436
Donor1_Wound30	P17401_1004	Wound30	1278	156	155	0.9935897435897436
Donor2_Skin	P20063_101	Skin	842	156	155	0.9935897435897436
Donor2_Wound1	P20063_102	Wound1	1758	156	155	0.9935897435897436
Donor2_Wound7	P20063_103	Wound7	1606	156	155	0.9935897435897436
Donor2_Wound30	P20063_104	Wound30	2205	156	155	0.9935897435897436
Donor3_Skin	P20063_105	Skin	685	156	155	0.9935897435897436
Donor3_Wound1	P20063_106	Wound1	1317	156	155	0.9935897435897436
Donor3_Wound7	P20063_107	Wound7	1537	156	155	0.9935897435897436
Donor3_Wound30	P20063_108	Wound30	2019	156	155	0.9935897435897436
Donor4_Skin	P20063_109	Skin	740	156	155	0.9935897435897436
Donor4_Wound1	P20063_110	Wound1	1608	156	155	0.9935897435897436
Donor4_Wound7	P20063_111	Wound7	1212	156	155	0.9935897435897436
Donor4_Wound30	P20063_112	Wound30	1777	156	155	0.9935897435897436
