Condition	AnnoType	spots	spatial_SRRS_mean	fibroblast_marker_mean	endothelial_marker_mean	pericyte_marker_mean	ecm_marker_mean
Skin	Basal_epi	124	0.5861895450386633	0.2275429390234841	-0.02650456578384326	0.06024248423954103	-0.06726042700620874
Skin	Sweat_gland	31	0.01670508703176158	0.29379942131053044	0.02916697411585611	-0.0447712609895718	-0.27414350350800815
Skin	Suprabasal_epi	247	0.009660251861515888	-0.08697154906063553	-0.13295049697268532	-0.056287997373670386	-0.22933669894358072
Skin	Immune_endo	394	-0.20194941496694627	0.43685260926156627	0.4940304317119201	0.25644392444723174	-0.26534790518750245
Skin	LE	48	-0.22586263793240416	0.42908121677604744	0.6461473186705576	-0.06515210569274975	-0.2002080196554887
Skin	Smooth_muscle	191	-0.2857143778108169	0.19516521430185993	-0.015349594391471209	1.1612191019326914	-0.22826763428548458
Skin	Dermis2	27	-0.5312121187172332	0.23505796765475168	-0.1077268187565115	-0.1502476941686552	-0.3677890492548808
Skin	Wound_edges	254	-0.5339643639268814	0.05791163343500175	-0.2773043308084242	-0.17839332942704406	-0.290238271639778
Skin	Immune	201	-0.5376258358967746	0.3194539962014149	-0.18190530381930317	-0.13898762811056017	-0.3335220051768017
Skin	FB2	621	-0.5383791068447118	0.578789346202804	-0.2535889536375037	-0.19735704750377353	-0.30766798155225283
Skin	Sebaceous_gland	28	-0.6071723989221027	-0.11768740535074489	-0.22881128755312446	-0.1529408559774586	-0.35855231114838604
Skin	Sweatgland_FB	200	-0.6316150490959239	0.10190879491308232	-0.15374093164450553	-0.14510287892588783	-0.33827984347811146
Skin	Papillary_dermis	139	-0.6524382094149871	0.09243836459591645	-0.21884629976059167	-0.23200325253218657	-0.3575414767522061
Skin	Mast_cell	32	-0.676150490650925	0.26869675262254755	-0.2287234901846423	-0.2254094764372221	-0.3429142501991841
Skin	FB1	211	-0.7328306768493471	0.49240801271795176	-0.2937916613422834	-0.3278774751863015	-0.3654310581345117
Skin	Hair_follicle	12	-0.7455805421666334	0.07484210140500623	-0.2447895003177064	-0.20170854981832723	-0.35120194757072715
Skin	Dermis1	317	-0.7698497887799111	0.207945234662764	-0.2944265109787421	-0.25059092758851914	-0.36785939174008886
Wound1	Hair_follicle	85	0.9133691073684697	0.006601325046155234	0.16207302964966677	0.48010771804049646	0.5309445590052563
Wound1	Sweat_gland	87	0.5930097578245077	-0.641285256011915	0.07604277707615788	-0.07568008425574013	0.23028556268169545
Wound1	Immune_endo	689	0.4163796140370788	-0.4721069255095881	0.5906611405864018	0.22973860887598105	0.2821897944223129
Wound1	Smooth_muscle	235	0.30537864015760935	-0.4678112521225359	0.16866214479186084	0.9400170105790976	0.30082959821032423
Wound1	Wound_edges	655	0.11512251982758048	-0.8214041174008412	-0.2103700111959696	-0.2693309167705518	0.331214304424385
Wound1	Dermis2	64	0.05962689622918815	-0.6407783684918527	-0.014557174949797988	0.002121529681779824	0.13738367765055057
Wound1	Immune	687	-0.007747996533532703	-0.8095108033146047	-0.11631450855423627	-0.1645301769916598	0.0442277635190856
Wound1	FB2	474	-0.032465475803018645	-0.06567531127618544	-0.15520930836229302	-0.1833741162607235	0.18803704756633785
Wound1	Sebaceous_gland	111	-0.05129410988456582	-0.9293634084283934	-0.2143969562927241	-0.1841387728181017	0.014356542519575674
Wound1	LE	125	-0.09496920202409101	-0.5941068935665762	0.0716159254763483	-0.18476887458545901	0.03653460361268463
Wound1	Basal_epi	376	-0.14247470197634335	-0.7479105822237976	-0.18869413786408099	-0.2596732014868314	-0.043515955052560604
Wound1	Papillary_dermis	200	-0.21347462094558484	-0.46304938771692916	-0.13571617945635836	-0.17084315785200677	0.0025794226193231163
Wound1	Suprabasal_epi	582	-0.28449002523890116	-0.8699356494199033	-0.23475567036685774	-0.29966164610428636	-0.11225280635938886
Wound1	Sweatgland_FB	714	-0.2942076317739852	-0.862575006792638	-0.1537603791390621	-0.18919450168197705	-0.060676940177939204
Wound1	FB1	291	-0.3811077366312084	-0.4288109521960729	-0.21034784034217174	-0.24544134312473487	-0.020782632644087206
Wound1	Dermis1	1107	-0.4127739757837968	-0.8950725320488376	-0.23942603687607558	-0.28682003473308076	-0.10090586456253942
Wound1	Mast_cell	33	-0.4300193689391746	-0.6880260865437551	-0.2236747145108374	-0.29918397526669266	-0.09537424443131771
Wound30	Basal_epi	237	0.9933031177029515	0.44477842305578064	0.10894570664937497	0.16087606054729	0.054726276865866126
Wound30	FB1	881	0.5468563495900925	0.8351952743667457	-0.10225505899185788	-0.03590451104995196	0.12727118821802058
Wound30	Sweat_gland	48	0.5342283920666054	0.42001565251086675	0.1424566729825887	0.25080977182498254	-0.08335180023297091
Wound30	Suprabasal_epi	307	0.37854208371385756	0.3049361027600542	-0.03938591734094769	-0.0018755996936953502	-0.1403539673853747
Wound30	Immune_endo	1033	0.3556722100093481	0.6994046958818119	0.7107880179253732	0.5035211562932312	-0.05053601923642838
Wound30	LE	132	0.24719238194478899	0.6345975752594593	0.653540683284119	0.11957292590330258	-0.050984247487199395
Wound30	Smooth_muscle	233	0.2336435126553628	0.5562740093165718	0.34237730013806505	1.3195929112309577	-0.04078725721394143
Wound30	Mast_cell	64	0.1287239994991919	0.6705490795032607	-0.11666153937216427	0.01629197359193508	-0.07029554566906672
Wound30	Hair_follicle	47	0.037786634315097295	0.6131375908295694	-0.00048367076434977836	0.266219221040072	-0.01162662922854443
Wound30	Wound_edges	355	-0.03621403112144474	0.3834050873564896	-0.0890975366009498	-0.009582404553215506	-0.17089600527632987
Wound30	FB2	1106	-0.07264720951751664	0.7976175316953321	-0.16297722489482244	-0.08615134323091901	-0.1204761176068858
Wound30	Dermis2	80	-0.10790838803467222	0.564540278058154	0.1090193452860851	0.176002500004569	-0.15744370352388332
Wound30	Immune	562	-0.14519615078216225	0.5821687103938865	-0.025593162131808355	-0.023540911324501774	-0.205943939055378
Wound30	Papillary_dermis	389	-0.2995210274134694	0.5614910792704589	-0.0788529453975741	-0.12659685072069102	-0.23991921497586227
Wound30	Sweatgland_FB	678	-0.3440019981135653	0.3890997469537223	-0.045672231080501675	0.015228271757316265	-0.25722544609453385
Wound30	Sebaceous_gland	62	-0.37414643689070665	0.35882452401016196	-0.12440114606529132	-0.04228685130789901	-0.29424575211835285
Wound30	Dermis1	1065	-0.5614888932220325	0.46241138086271044	-0.22682452227909367	-0.2331805265255894	-0.29816141559278575
Wound7	Wound_edges	821	1.0671435876302928	-0.3658072315954352	-0.1707753697711329	-0.06750476965807578	1.0913251278654459
Wound7	Basal_epi	182	0.8912083818991533	-0.04342297605411539	-0.040923722749720094	0.06892793608549876	0.2380570282600206
Wound7	Hair_follicle	68	0.8116402891846648	0.01329642901666277	-0.07067486641933839	0.3616589023726594	0.4225025669499449
Wound7	Immune_endo	825	0.5802639314378074	0.19318602421376574	0.8731123638896475	0.5994707819042495	0.1946017432952222
Wound7	Sweat_gland	84	0.5451553598829981	-0.2216449409932474	0.43340314294207566	0.10356226050487838	0.05714493251009975
Wound7	FB1	290	0.4504954095314133	0.30158248898421036	-0.0673244365716379	-0.0009882559256552445	0.2097808310841999
Wound7	Immune	520	0.4340152095851054	0.06867749573646105	0.08726434490011126	0.07817141468537028	0.18034849801830583
Wound7	Smooth_muscle	211	0.3820220847715243	0.008965107284103296	0.4626934403435601	1.1543941187294835	0.18645279272107781
Wound7	Suprabasal_epi	425	0.29917996740425024	-0.40093178005129076	-0.11704718798360512	-0.13776456791773659	0.2746226547039173
Wound7	LE	114	0.19425665226593736	0.0027630755171126663	0.6177531426224498	0.11390075851203499	0.12076681537321848
Wound7	Sebaceous_gland	56	0.008206620638361339	-0.5071028663838358	-0.11465075617309518	-0.05647745054240851	0.021846068686280175
Wound7	Sweatgland_FB	497	-0.09668099032912503	-0.32269357081674716	0.12494481436795779	0.08215991715592677	-0.0627061107542215
Wound7	Dermis2	69	-0.19929236092525623	-0.13556590295746	0.027718043174503253	0.012177415056858994	-0.08735278169607494
Wound7	FB2	519	-0.22095992827661187	0.07743345821988304	-0.14056032007322178	-0.10811370964642115	-0.04173036444020131
Wound7	Dermis1	1096	-0.24029544584991752	-0.3199188454889158	-0.17124437016436123	-0.19371534673850893	0.03293258101952582
Wound7	Papillary_dermis	236	-0.3030644930130459	-0.21264154782117659	-0.022329870867916053	-0.07241522963475848	-0.15797628667847355
Wound7	Mast_cell	31	-0.3997961031925086	-0.3575560349258615	-0.11915116152400385	-0.17119004967345466	-0.15420191922146312
