Condition	feature	mean_donor_rho	bootstrap_ci_low	bootstrap_ci_high	positive_donors	n_donors
Skin	ecm_remodeling_marker	0.6158286595446607	0.6066922772010057	0.6238958980301648	4	4
Skin	endothelial_marker	0.40949262762377575	0.3876378064363096	0.42964216860050014	4	4
Skin	fibroblast_stromal_marker	0.1101636536721764	0.012771455722759	0.20469565809446566	3	4
Skin	pericyte_smc_marker	0.45087263210621303	0.40643404382374254	0.4953112203886835	4	4
Wound1	ecm_remodeling_marker	0.7732677885864191	0.7572747555495081	0.7905958973288206	4	4
Wound1	endothelial_marker	0.4052101579824846	0.37890055110919046	0.4287876660948313	4	4
Wound1	fibroblast_stromal_marker	0.4068513612327695	0.26957622365646083	0.48529261904021964	4	4
Wound1	pericyte_smc_marker	0.4697414248134919	0.42612044894032663	0.519439599194601	4	4
Wound30	ecm_remodeling_marker	0.7277646695675951	0.6763652359894446	0.7736961520445875	4	4
Wound30	endothelial_marker	0.44576905610698575	0.40617990210375904	0.4768374967011109	4	4
Wound30	fibroblast_stromal_marker	0.35149181203284	0.21768605463627075	0.47378583013205533	4	4
Wound30	pericyte_smc_marker	0.5308522312939716	0.48981982719645994	0.5718846353914833	4	4
Wound7	ecm_remodeling_marker	0.7510048911534195	0.7390340628182165	0.7629757194886224	4	4
Wound7	endothelial_marker	0.3733606831289612	0.294959951967791	0.4517614142901314	4	4
Wound7	fibroblast_stromal_marker	0.4167862812190245	0.31011746810344903	0.5006519206077032	4	4
Wound7	pericyte_smc_marker	0.48306495765480806	0.4515228624479609	0.5146070528616552	4	4
