Condition	Donor	feature	rho	p	n_spots
Skin	Donor1	fibroblast_stromal_marker	0.11384470941123216	0.0011719062187305544	810
Skin	Donor2	fibroblast_stromal_marker	0.11220298498737691	0.0011090763344919262	842
Skin	Donor3	fibroblast_stromal_marker	0.23552654913016194	4.345930025270383e-10	685
Skin	Donor4	fibroblast_stromal_marker	-0.020919628840065384	0.5699157492497292	740
Wound1	Donor1	fibroblast_stromal_marker	0.4939430470545239	2.7185804619885706e-113	1832
Wound1	Donor2	fibroblast_stromal_marker	0.4766421910259153	2.1357139186141512e-100	1758
Wound1	Donor3	fibroblast_stromal_marker	0.4562659723173295	1.0698543141941253e-68	1317
Wound1	Donor4	fibroblast_stromal_marker	0.2005542345333093	4.717269820671458e-16	1608
Wound7	Donor1	fibroblast_stromal_marker	0.26407725083059613	2.411301452795627e-28	1689
Wound7	Donor2	fibroblast_stromal_marker	0.5238889641536594	6.759270550462894e-114	1606
Wound7	Donor3	fibroblast_stromal_marker	0.4482381199220078	7.857682431650781e-77	1537
Wound7	Donor4	fibroblast_stromal_marker	0.43094078996983476	5.569941356703071e-56	1212
Wound30	Donor1	fibroblast_stromal_marker	0.1683912055369651	1.3846788271091865e-09	1278
Wound30	Donor2	fibroblast_stromal_marker	0.36043650072620015	1.2581390168057262e-68	2205
Wound30	Donor3	fibroblast_stromal_marker	0.3655706019341877	7.12959224205245e-65	2019
Wound30	Donor4	fibroblast_stromal_marker	0.5115689399340071	4.19670091029802e-119	1777
Skin	Donor1	endothelial_marker	0.40453399263129775	3.0457562095191457e-33	810
Skin	Donor2	endothelial_marker	0.4280946837568233	7.584717240538488e-39	842
Skin	Donor3	endothelial_marker	0.431189653444177	2.1835137974053924e-32	685
Skin	Donor4	endothelial_marker	0.374152180662805	5.284474697009483e-26	740
Wound1	Donor1	endothelial_marker	0.4198841911775731	3.748016297850355e-79	1832
Wound1	Donor2	endothelial_marker	0.43769114101208956	3.513909318996729e-83	1758
Wound1	Donor3	endothelial_marker	0.3652393377530629	7.82636902732833e-43	1317
Wound1	Donor4	endothelial_marker	0.3980259619872128	3.526488917223785e-62	1608
Wound7	Donor1	endothelial_marker	0.27254322656074376	3.761770176831096e-30	1689
Wound7	Donor2	endothelial_marker	0.49355011516969893	2.331507887829932e-99	1606
Wound7	Donor3	endothelial_marker	0.40997271341056374	2.281525136718222e-63	1537
Wound7	Donor4	endothelial_marker	0.3173766773748382	9.116991104837335e-30	1212
Wound30	Donor1	endothelial_marker	0.45110456831308876	4.482125987452422e-65	1278
Wound30	Donor2	endothelial_marker	0.4854151394971183	1.0090825775928903e-130	2205
Wound30	Donor3	endothelial_marker	0.4574749707190858	5.5261023580208136e-105	2019
Wound30	Donor4	endothelial_marker	0.38908154589865007	2.611437348179929e-65	1777
Skin	Donor1	pericyte_smc_marker	0.42704664395257363	3.0793380221525714e-37	810
Skin	Donor2	pericyte_smc_marker	0.4915699832702313	1.9674567021774477e-52	842
Skin	Donor3	pericyte_smc_marker	0.38582144369491145	9.778890648918768e-26	685
Skin	Donor4	pericyte_smc_marker	0.4990524575071357	7.372546933324156e-48	740
Wound1	Donor1	pericyte_smc_marker	0.4812039009694165	8.358150880734148e-107	1832
Wound1	Donor2	pericyte_smc_marker	0.5438779483789082	6.590062698117837e-136	1758
Wound1	Donor3	pericyte_smc_marker	0.4461245516416795	2.0909039824111114e-65	1317
Wound1	Donor4	pericyte_smc_marker	0.40775929826396334	1.8692020988777639e-65	1608
Wound7	Donor1	pericyte_smc_marker	0.4432955202880415	3.098793269552223e-82	1689
Wound7	Donor2	pericyte_smc_marker	0.518380949027956	3.798219554366084e-111	1606
Wound7	Donor3	pericyte_smc_marker	0.4597502046078803	3.128905256312915e-81	1537
Wound7	Donor4	pericyte_smc_marker	0.5108331566953545	1.5799696814844187e-81	1212
Wound30	Donor1	pericyte_smc_marker	0.5000400596886446	8.379090790506017e-82	1278
Wound30	Donor2	pericyte_smc_marker	0.5574312058222397	2.9509887386746327e-180	2205
Wound30	Donor3	pericyte_smc_marker	0.5863380649607267	9.271101078262073e-187	2019
Wound30	Donor4	pericyte_smc_marker	0.4795995947042753	7.050347839182613e-103	1777
Skin	Donor1	ecm_remodeling_marker	0.6012750902300674	8.797691795865265e-81	810
Skin	Donor2	ecm_remodeling_marker	0.6248479579465089	2.246537038222627e-92	842
Skin	Donor3	ecm_remodeling_marker	0.6142477518882461	2.762790988440341e-72	685
Skin	Donor4	ecm_remodeling_marker	0.6229438381138206	9.294226101183088e-81	740
Wound1	Donor1	ecm_remodeling_marker	0.7787863925842317	0.0	1832
Wound1	Donor2	ecm_remodeling_marker	0.7991015187125522	0.0	1758
Wound1	Donor3	ecm_remodeling_marker	0.7650790331776257	1.2216807293770686e-253	1317
Wound1	Donor4	ecm_remodeling_marker	0.7501042098712669	1.0102210805721073e-290	1608
Wound7	Donor1	ecm_remodeling_marker	0.7665002073521479	0.0	1689
Wound7	Donor2	ecm_remodeling_marker	0.7334503256690877	3.271088858317033e-271	1606
Wound7	Donor3	ecm_remodeling_marker	0.7594512316250971	6.738187000808036e-289	1537
Wound7	Donor4	ecm_remodeling_marker	0.7446177999673452	1.1674687279053354e-214	1212
Wound30	Donor1	ecm_remodeling_marker	0.7159606469900107	2.3167698982417904e-201	1278
Wound30	Donor2	ecm_remodeling_marker	0.785048541704981	0.0	2205
Wound30	Donor3	ecm_remodeling_marker	0.6477057271911949	1.6415992631453536e-240	2019
Wound30	Donor4	ecm_remodeling_marker	0.762343762384194	0.0	1777
