axis	term	estimate	std_error_cluster_sample	p_cluster_sample	n_spots	n_clusters	padj_bh
TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.2770865529288296	0.04307244965930255	1.2508127885072995e-10	22915	16	8.755689519551097e-10
TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.22403314296872015	0.09341664949196622	0.016475224080163393	22915	16	0.038442189520381254
TNC_integrin_syndecan	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.32912910854565286	0.050381162312614636	6.455943936136617e-11	22915	16	6.778741132943448e-10
IL11_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-0.06650040660713184	0.0177527616026769	0.0001797345977115812	22915	16	0.0007548853103886411
IL11_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.006215513470657268	0.0218633352103317	0.776188643035608	22915	16	0.8149980751873883
IL11_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.03610607577708065	0.02200809859500095	0.10088435207827204	22915	16	0.17173590708464534
IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.09754322936590352	0.02401481087673229	4.869691286812013e-05	22915	16	0.00025565879255763066
IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.042177122369466746	0.029871859766077143	0.15796912019628695	22915	16	0.22115676827480174
IL6_gp130	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.1123007426469009	0.08644530238817524	0.1939110011716303	22915	16	0.2395371190943668
INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.09729470789517315	0.0282698900391464	0.0005782049645158475	22915	16	0.0017346148935475426
INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.06911089487478038	0.022276794275222153	0.001919767801118762	22915	16	0.0050393904779367504
INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.16807264501782554	0.020233400414275647	9.840613565342818e-17	22915	16	2.0665288487219916e-15
THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.18576098849077763	0.05309191559754601	0.00046725816356193604	22915	16	0.0016354035724667761
THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.08566577343622428	0.058471200252718895	0.14289541912177622	22915	16	0.21434312868266434
THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.17452180275507395	0.08372540445072066	0.0371188376000872	22915	16	0.07086323541834828
SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.006059928675912091	0.04572717070825503	0.894570167997522	22915	16	0.8945701679975221
SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.07523915868098056	0.05780583154493017	0.19305855396758365	22915	16	0.2395371190943668
SERPINE1_LRP1	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.1161522111383585	0.05314906198279698	0.028859184803932906	22915	16	0.06060428808825911
CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.04279982370430248	0.03605444897129739	0.23519269256456576	22915	16	0.27439147465866004
CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.03142968719294572	0.030606229637300832	0.3044652466629909	22915	16	0.33651421999593734
CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.060652992828715245	0.03755624849875518	0.10631270438573284	22915	16	0.17173590708464534
