axis	Condition	mean_donor_rho	bootstrap_ci_low	bootstrap_ci_high	positive_donors	n_donors
CCL20_CCR6	Skin	-0.005019304249625137	-0.005720644743973691	-0.004317963755276583	0	4
CCL20_CCR6	Wound1	0.01149659446482583	-0.00572171321433615	0.0431664215109507	1	4
CCL20_CCR6	Wound30	0.06659156279199366	-0.003816460246024698	0.136999585830012	2	4
CCL20_CCR6	Wound7	-0.013337676518140986	-0.020432720399679614	-0.0062170779912356	0	4
IL11_gp130	Skin	0.09283055281822883	0.05710628515145719	0.12855482048500044	4	4
IL11_gp130	Wound1	0.09325830207942133	0.06083654124182751	0.1316644743016635	4	4
IL11_gp130	Wound30	0.04638575387642015	0.023951241905934395	0.06663817655093929	4	4
IL11_gp130	Wound7	0.08968819901038091	0.05565224195163242	0.12372415606912943	4	4
IL6_gp130	Skin	0.03165290862178254	0.03165290862178254	0.03165290862178254	1	4
IL6_gp130	Wound1	0.08356177939775832	0.06586771284401584	0.10153498963851149	4	4
IL6_gp130	Wound30	0.031756231228215935	0.018019990025301774	0.0454924724311301	4	4
IL6_gp130	Wound7	0.08574482233943352	0.05727571118893739	0.11421393348992964	4	4
INHBA_activin_TGF_family	Skin	0.07161057684910466	0.04994120311356401	0.08305855873149719	4	4
INHBA_activin_TGF_family	Wound1	0.12609098819421327	0.10641622775106759	0.14576574863735894	4	4
INHBA_activin_TGF_family	Wound30	0.1271773218255797	0.08443549590816621	0.16991914774299322	4	4
INHBA_activin_TGF_family	Wound7	0.16270134035836428	0.1375793553750211	0.19286167770529625	4	4
SERPINE1_LRP1	Skin	0.03830166899472754	0.004472515740218652	0.07213082224923642	4	4
SERPINE1_LRP1	Wound1	0.08550419112158025	0.05792754173725362	0.13475210156944767	4	4
SERPINE1_LRP1	Wound30	0.022470511091621653	-0.019985193327249382	0.06492621551049269	2	4
SERPINE1_LRP1	Wound7	0.019383452412884434	0.005468720976398532	0.03247028956379666	3	4
THBS1_matrix_receptors	Skin	0.15642207788680257	0.14644942998624	0.16914958303291205	4	4
THBS1_matrix_receptors	Wound1	0.19943511466426986	0.09984661308505512	0.29902361624348456	4	4
THBS1_matrix_receptors	Wound30	0.22325067869242668	0.1703530839086924	0.2656785498756999	4	4
THBS1_matrix_receptors	Wound7	0.15452265008318847	0.054078703701264504	0.2310166112110856	4	4
TNC_integrin_syndecan	Skin	0.2417525389821854	0.2139827374301258	0.2958857392549368	4	4
TNC_integrin_syndecan	Wound1	0.31891715319666386	0.2833193288390251	0.3693207806977115	4	4
TNC_integrin_syndecan	Wound30	0.3356397428530764	0.2944651731197021	0.3768143125864507	4	4
TNC_integrin_syndecan	Wound7	0.31228361058104703	0.27368705001288973	0.3807681091984927	4	4
