Sample_name	orig.ident	Condition	Donor	spots	n_wanted_genes	n_present_genes	present_genes
Donor1_Skin	P17401_1001	Skin	Donor1	810	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor1_Wound1	P17401_1002	Wound1	Donor1	1832	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor1_Wound7	P17401_1003	Wound7	Donor1	1689	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor1_Wound30	P17401_1004	Wound30	Donor1	1278	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor2_Skin	P20063_101	Skin	Donor2	842	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor2_Wound1	P20063_102	Wound1	Donor2	1758	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor2_Wound7	P20063_103	Wound7	Donor2	1606	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor2_Wound30	P20063_104	Wound30	Donor2	2205	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor3_Skin	P20063_105	Skin	Donor3	685	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor3_Wound1	P20063_106	Wound1	Donor3	1317	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor3_Wound7	P20063_107	Wound7	Donor3	1537	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor3_Wound30	P20063_108	Wound30	Donor3	2019	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor4_Skin	P20063_109	Skin	Donor4	740	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor4_Wound1	P20063_110	Wound1	Donor4	1608	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor4_Wound7	P20063_111	Wound7	Donor4	1212	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
Donor4_Wound30	P20063_112	Wound30	Donor4	1777	25	25	ACVR1;ACVR1B;ACVR2A;ACVR2B;BAMBI;CCL20;CCR6;CD47;ENG;IL11;IL11RA;IL6;IL6R;IL6ST;INHBA;ITGA5;ITGA8;ITGAV;ITGB1;LRP1;SDC4;SERPINE1;TGFBR3;THBS1;TNC
