axis	Condition	Donor	ligand_receptor_spearman_rho	p_spearman	n_spots	mean_axis_score
TNC_integrin_syndecan	Skin	Donor1	0.21519165510434088	6.10727689017796e-10	810	-0.3331447500586014
TNC_integrin_syndecan	Skin	Donor2	0.2155866254186462	2.6003012391680003e-10	842	-0.35028132206023727
TNC_integrin_syndecan	Skin	Donor3	0.21344810810061904	1.686653660256989e-08	685	-0.41397068646905805
TNC_integrin_syndecan	Skin	Donor4	0.3227837673051354	2.097631963447169e-19	740	-0.31085337792764817
TNC_integrin_syndecan	Wound1	Donor1	0.3918689683204588	2.6675698900390574e-68	1832	-0.22586290795069403
TNC_integrin_syndecan	Wound1	Donor2	0.3065464822770404	1.4509057602870086e-39	1758	0.03314021780140072
TNC_integrin_syndecan	Wound1	Donor3	0.30167621782946963	4.099117783544166e-29	1317	-0.0893603023556491
TNC_integrin_syndecan	Wound1	Donor4	0.2755769443596867	2.0500615757942556e-29	1608	0.00844805761597981
TNC_integrin_syndecan	Wound30	Donor1	0.3879321998567991	3.6925166566980735e-47	1278	-0.046089871121160475
TNC_integrin_syndecan	Wound30	Donor2	0.31633448903047934	1.9530945265242474e-52	2205	0.4248868348468714
TNC_integrin_syndecan	Wound30	Donor3	0.2725958572089249	9.83134852121094e-36	2019	-0.2584486572012279
TNC_integrin_syndecan	Wound30	Donor4	0.3656964253161023	2.3886187002703026e-57	1777	0.10967482206348939
TNC_integrin_syndecan	Wound7	Donor1	0.27816136138838193	2.189163878255295e-31	1689	0.29335587577312544
TNC_integrin_syndecan	Wound7	Donor2	0.4149703584685296	7.177671702324664e-68	1606	-0.18945615961719386
TNC_integrin_syndecan	Wound7	Donor3	0.28662998367513526	1.8759915365772613e-30	1537	0.2649261729804942
TNC_integrin_syndecan	Wound7	Donor4	0.2693727387921412	1.3585880327594759e-21	1212	0.3205849682161623
IL11_gp130	Skin	Donor1	0.1271753761885971	0.0002849310345923348	810	0.021765739053840254
IL11_gp130	Skin	Donor2	0.05529414042602864	0.10886263492570732	842	0.026870607515409237
IL11_gp130	Skin	Donor3	0.05891842987688574	0.12342267719673246	685	-0.11798571749468424
IL11_gp130	Skin	Donor4	0.12993426478140382	0.0003946261944221674	740	-0.03790815064133009
IL11_gp130	Wound1	Donor1	0.15100473977889772	8.239777128530966e-11	1832	-0.1694105538534291
IL11_gp130	Wound1	Donor2	0.07364367786996084	0.002003118188827379	1758	-0.08334669871734281
IL11_gp130	Wound1	Donor3	0.10035538605513257	0.00026459801068203827	1317	-0.13271563205075584
IL11_gp130	Wound1	Donor4	0.048029404613694184	0.054155997844690926	1608	-0.0581591226163899
IL11_gp130	Wound30	Donor1	0.05787380677324149	0.03857918077308553	1278	0.07611658876912555
IL11_gp130	Wound30	Donor2	0.07540254632863708	0.0003944828852925082	2205	0.16871344165420715
IL11_gp130	Wound30	Donor3	0.03962294212030332	0.07507836579744301	2019	0.025148169130113925
IL11_gp130	Wound30	Donor4	0.0126437202834987	0.5942858039429157	1777	0.034088482534827345
IL11_gp130	Wound7	Donor1	0.12878562994481035	1.0904200763911204e-07	1689	0.06580323975733701
IL11_gp130	Wound7	Donor2	0.050346618709822	0.04365945436165551	1606	-0.10551698082838265
IL11_gp130	Wound7	Donor3	0.060957865193442824	0.01684347599914225	1537	0.0628912123422052
IL11_gp130	Wound7	Donor4	0.11866268219344851	3.4507905163637816e-05	1212	0.14424275168081038
IL6_gp130	Skin	Donor1			810	-0.09462673625834653
IL6_gp130	Skin	Donor2	0.03165290862178254	0.3589617161254682	842	-0.07021457870502809
IL6_gp130	Skin	Donor3			685	-0.17806918701429392
IL6_gp130	Skin	Donor4			740	-0.12324637353537525
IL6_gp130	Wound1	Donor1	0.08163068340012708	0.0004698185250435963	1832	-0.11616699892062897
IL6_gp130	Wound1	Donor2	0.10816975838463963	5.48014342595487e-06	1758	0.014754393756104447
IL6_gp130	Wound1	Donor3	0.05951208778489843	0.030804686598841672	1317	-0.02963324194154517
IL6_gp130	Wound1	Donor4	0.08493458802136811	0.0006511074635417381	1608	0.14658342169518127
IL6_gp130	Wound30	Donor1	0.02481296754980696	0.37545030959953357	1278	-0.05990236507751887
IL6_gp130	Wound30	Donor2	0.041389428025947264	0.051983339697472784	2205	-0.018935028960642822
IL6_gp130	Wound30	Donor3	0.011227012500796593	0.6141419097071882	2019	-0.051077052064466597
IL6_gp130	Wound30	Donor4	0.049595516836312935	0.036573942548467124	1777	-0.046231102733253385
IL6_gp130	Wound7	Donor1	0.07087048324196717	0.0035671085280209506	1689	-0.01730871728827449
IL6_gp130	Wound7	Donor2	0.04368093913590762	0.08012127031849625	1606	-0.09572486669879397
IL6_gp130	Wound7	Donor3	0.11901066290172096	2.8883362508779737e-06	1537	0.4248411075089225
IL6_gp130	Wound7	Donor4	0.1094172040781383	0.00013521464514936393	1212	0.14250872342390117
INHBA_activin_TGF_family	Skin	Donor1	0.08139584253755194	0.020512772868613804	810	-0.13560538346700285
INHBA_activin_TGF_family	Skin	Donor2	0.08297677026663897	0.016025519282916696	842	-0.12113557066779009
INHBA_activin_TGF_family	Skin	Donor3	0.03892934739587235	0.3089615745877114	685	-0.1980950101963113
INHBA_activin_TGF_family	Skin	Donor4	0.08314034719635541	0.02371251623407373	740	-0.12059618010613297
INHBA_activin_TGF_family	Wound1	Donor1	0.13781717449535322	3.1594703326030407e-09	1832	-0.16933710142923364
