Donor	Condition	Sample_name	TNC_integrin_syndecan_axis_score	TNC_integrin_syndecan_ligand_score	TNC_integrin_syndecan_receptor_score	axis	IL11_gp130_axis_score	IL11_gp130_ligand_score	IL11_gp130_receptor_score	IL6_gp130_axis_score	IL6_gp130_ligand_score	IL6_gp130_receptor_score	INHBA_activin_TGF_family_axis_score	INHBA_activin_TGF_family_ligand_score	INHBA_activin_TGF_family_receptor_score	THBS1_matrix_receptors_axis_score	THBS1_matrix_receptors_ligand_score	THBS1_matrix_receptors_receptor_score	SERPINE1_LRP1_axis_score	SERPINE1_LRP1_ligand_score	SERPINE1_LRP1_receptor_score	CCL20_CCR6_axis_score	CCL20_CCR6_ligand_score	CCL20_CCR6_receptor_score
Donor1	Skin	Donor1_Skin	-0.3331447500586014	-0.5526049424656401	-0.11368455765156273	TNC_integrin_syndecan																		
Donor1	Wound1	Donor1_Wound1	-0.22586290795069403	-0.24618019811620068	-0.2055456177851873	TNC_integrin_syndecan																		
Donor1	Wound30	Donor1_Wound30	-0.04608987112116048	-0.13843696590918453	0.04625722366686363	TNC_integrin_syndecan																		
Donor1	Wound7	Donor1_Wound7	0.29335587577312544	0.3441049384399786	0.24260681310627238	TNC_integrin_syndecan																		
Donor2	Skin	Donor2_Skin	-0.35028132206023727	-0.5676012256194498	-0.1329614185010246	TNC_integrin_syndecan																		
Donor2	Wound1	Donor2_Wound1	0.03314021780140072	0.09220739729767717	-0.025926961694875694	TNC_integrin_syndecan																		
Donor2	Wound30	Donor2_Wound30	0.4248868348468714	0.6367563990639757	0.21301727062976714	TNC_integrin_syndecan																		
Donor2	Wound7	Donor2_Wound7	-0.18945615961719386	-0.26315934000448804	-0.11575297922989962	TNC_integrin_syndecan																		
Donor3	Skin	Donor3_Skin	-0.41397068646905805	-0.558227501245266	-0.26971387169285	TNC_integrin_syndecan																		
Donor3	Wound1	Donor3_Wound1	-0.0893603023556491	-0.04888326135959073	-0.12983734335170743	TNC_integrin_syndecan																		
Donor3	Wound30	Donor3_Wound30	-0.2584486572012279	-0.4146311045034193	-0.10226620989903648	TNC_integrin_syndecan																		
Donor3	Wound7	Donor3_Wound7	0.2649261729804942	0.41519497705042047	0.11465736891056792	TNC_integrin_syndecan																		
Donor4	Skin	Donor4_Skin	-0.3108533779276481	-0.50469289396688	-0.11701386188841618	TNC_integrin_syndecan																		
Donor4	Wound1	Donor4_Wound1	0.008448057615979809	0.016621329447903743	0.0002747857840559115	TNC_integrin_syndecan																		
Donor4	Wound30	Donor4_Wound30	0.10967482206348937	0.16369322785684798	0.05565641627013079	TNC_integrin_syndecan																		
Donor4	Wound7	Donor4_Wound7	0.3205849682161623	0.43759107846320283	0.2035788579691217	TNC_integrin_syndecan																		
Donor1	Skin	Donor1_Skin				IL11_gp130	0.02176573905384027	-0.048119811766303235	0.09165128987398376															
Donor1	Wound1	Donor1_Wound1				IL11_gp130	-0.16941055385342904	-0.042797841472054184	-0.29602326623480396															
Donor1	Wound30	Donor1_Wound30				IL11_gp130	0.07611658876912555	-0.021937642336397563	0.17417081987464866															
Donor1	Wound7	Donor1_Wound7				IL11_gp130	0.06580323975733704	0.16190946721238908	-0.03030298769771502															
Donor2	Skin	Donor2_Skin				IL11_gp130	0.026870607515409248	-0.06116974079207571	0.1149109558228942															
Donor2	Wound1	Donor2_Wound1				IL11_gp130	-0.08334669871734278	-0.009647186124423088	-0.1570462113102625															
