gene	role	axis	term	estimate	std_error_cluster_sample	p_cluster_sample	n_spots	n_clusters	padj_bh
ACVR1	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.12810829329061155	0.0922207838395253	0.16478782984334428	22915	16	0.2522262701683841
ACVR1	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.14157011314299295	0.08086913970943285	0.08001356242530072	22915	16	0.14800328295638335
ACVR1	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.10607751602702568	0.11202084947407139	0.34366711184988896	22915	16	0.42958388981236123
ACVR1B	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.08529745719320074	0.10456557825705244	0.41465360276140717	22915	16	0.4936352413826276
ACVR1B	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.33217841165780065	0.17168513344647565	0.05301340199715084	22915	16	0.10745959864287333
ACVR1B	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.22036486441440092	0.11226359285095161	0.04965504319520948	22915	16	0.10344800665668642
ACVR2A	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	-0.02439761169098586	0.09615872048634076	0.7997101050590423	22915	16	0.8132111729523398
ACVR2A	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.15392472203772806	0.12556914098774707	0.22026774517832803	22915	16	0.3116996394032944
ACVR2A	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	-0.22814464247887162	0.11285527121189794	0.043220966311998635	22915	16	0.09822946889090599
ACVR2B	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.024583641729035353	0.015472167286532584	0.11208420984787343	22915	16	0.1868070164131224
ACVR2B	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.006453991021889629	0.008610058682610527	0.45350327538498314	22915	16	0.5203430525037112
ACVR2B	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.017315169209135207	0.015253373154124068	0.25630416239157805	22915	16	0.34326450320300633
BAMBI	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.047608772090788724	0.012380117801573352	0.00012026608407328816	22915	16	0.0006013304203664407
BAMBI	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.010689290172177093	0.026636834911164045	0.6882012445338791	22915	16	0.7269731456343794
BAMBI	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.05438905884929134	0.019871335734533743	0.0061990789518170525	22915	16	0.018193648060028447
CCL20	ligand	CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.032203389383956386	0.01423351345768122	0.023666246205344587	22915	16	0.05916561551336146
CCL20	ligand	CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.003509797991610918	0.0049169027752753915	0.4753366730553976	22915	16	0.5320932907336541
CCL20	ligand	CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.03793968215643664	0.020891122998729694	0.06936007243582216	22915	16	0.13338475468427338
CCR6	receptor	CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.0036666116812780563	0.03825776030355154	0.9236478986515706	22915	16	0.9236478986515706
CCR6	receptor	CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound30]	-0.04533311568729505	0.04307293171420084	0.292582399830596	22915	16	0.3849768418823631
CCR6	receptor	CCL20_CCR6	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.02149295151231416	0.03732309966323136	0.5647085222476085	22915	16	0.6138136111387048
CD47	receptor	THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.12137152269371024	0.15329599792805268	0.42850868226489247	22915	16	0.5021586120291709
CD47	receptor	THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound30]	0.24326873419001063	0.154588596079391	0.11556780358117417	22915	16	0.18842576670843614
CD47	receptor	THBS1_matrix_receptors	C(Condition, Treatment(reference='Skin'))[T.Wound7]	0.2693754934769363	0.15717582815763156	0.08655662802879367	22915	16	0.15456540719427442
ENG	receptor	INHBA_activin_TGF_family	C(Condition, Treatment(reference='Skin'))[T.Wound1]	0.3136458644251714	0.23237526636648692	0.17709984921517452	22915	16	0.26044095472819784
