Donor	Condition	Sample_name	mean_logexpr	gene	role	axis
Donor1	Skin	Donor1_Skin	0.30343169989534563	ACVR1	receptor	INHBA_activin_TGF_family
Donor1	Wound1	Donor1_Wound1	0.20269705684897696	ACVR1	receptor	INHBA_activin_TGF_family
Donor1	Wound30	Donor1_Wound30	0.638510918883291	ACVR1	receptor	INHBA_activin_TGF_family
Donor1	Wound7	Donor1_Wound7	0.5908148941424521	ACVR1	receptor	INHBA_activin_TGF_family
Donor2	Skin	Donor2_Skin	0.4145594592208553	ACVR1	receptor	INHBA_activin_TGF_family
Donor2	Wound1	Donor2_Wound1	0.34269948049401644	ACVR1	receptor	INHBA_activin_TGF_family
Donor2	Wound30	Donor2_Wound30	0.9683930594430898	ACVR1	receptor	INHBA_activin_TGF_family
Donor2	Wound7	Donor2_Wound7	0.30184284013404994	ACVR1	receptor	INHBA_activin_TGF_family
Donor3	Skin	Donor3_Skin	0.1795780181733434	ACVR1	receptor	INHBA_activin_TGF_family
Donor3	Wound1	Donor3_Wound1	0.5202782958267734	ACVR1	receptor	INHBA_activin_TGF_family
Donor3	Wound30	Donor3_Wound30	0.4596821698993142	ACVR1	receptor	INHBA_activin_TGF_family
Donor3	Wound7	Donor3_Wound7	0.7201701859062412	ACVR1	receptor	INHBA_activin_TGF_family
Donor4	Skin	Donor4_Skin	0.5224498470574782	ACVR1	receptor	INHBA_activin_TGF_family
Donor4	Wound1	Donor4_Wound1	0.4042917072525909	ACVR1	receptor	INHBA_activin_TGF_family
Donor4	Wound30	Donor4_Wound30	0.6896348425309115	ACVR1	receptor	INHBA_activin_TGF_family
Donor4	Wound7	Donor4_Wound7	0.9499860045558015	ACVR1	receptor	INHBA_activin_TGF_family
Donor1	Skin	Donor1_Skin	0.6534198188257481	ACVR1B	receptor	INHBA_activin_TGF_family
Donor1	Wound1	Donor1_Wound1	0.505384689004116	ACVR1B	receptor	INHBA_activin_TGF_family
Donor1	Wound30	Donor1_Wound30	1.0069291528832884	ACVR1B	receptor	INHBA_activin_TGF_family
Donor1	Wound7	Donor1_Wound7	0.89048051376663	ACVR1B	receptor	INHBA_activin_TGF_family
Donor2	Skin	Donor2_Skin	0.6548396784873488	ACVR1B	receptor	INHBA_activin_TGF_family
Donor2	Wound1	Donor2_Wound1	0.6711613734205031	ACVR1B	receptor	INHBA_activin_TGF_family
Donor2	Wound30	Donor2_Wound30	0.6767288776022855	ACVR1B	receptor	INHBA_activin_TGF_family
Donor2	Wound7	Donor2_Wound7	0.42125949173033117	ACVR1B	receptor	INHBA_activin_TGF_family
Donor3	Skin	Donor3_Skin	0.6049888023593962	ACVR1B	receptor	INHBA_activin_TGF_family
Donor3	Wound1	Donor3_Wound1	0.6651182484303829	ACVR1B	receptor	INHBA_activin_TGF_family
Donor3	Wound30	Donor3_Wound30	0.6040429627486779	ACVR1B	receptor	INHBA_activin_TGF_family
Donor3	Wound7	Donor3_Wound7	0.6673165115537181	ACVR1B	receptor	INHBA_activin_TGF_family
Donor4	Skin	Donor4_Skin	0.9429429541162032	ACVR1B	receptor	INHBA_activin_TGF_family
Donor4	Wound1	Donor4_Wound1	0.5978621869107779	ACVR1B	receptor	INHBA_activin_TGF_family
Donor4	Wound30	Donor4_Wound30	0.43281444427805	ACVR1B	receptor	INHBA_activin_TGF_family
Donor4	Wound7	Donor4_Wound7	0.8465452239771809	ACVR1B	receptor	INHBA_activin_TGF_family
Donor1	Skin	Donor1_Skin	0.3905683505624328	ACVR2A	receptor	INHBA_activin_TGF_family
Donor1	Wound1	Donor1_Wound1	0.33309861936876983	ACVR2A	receptor	INHBA_activin_TGF_family
Donor1	Wound30	Donor1_Wound30	0.7615882652701921	ACVR2A	receptor	INHBA_activin_TGF_family
Donor1	Wound7	Donor1_Wound7	0.4990793004962847	ACVR2A	receptor	INHBA_activin_TGF_family
Donor2	Skin	Donor2_Skin	0.5637049657379637	ACVR2A	receptor	INHBA_activin_TGF_family
Donor2	Wound1	Donor2_Wound1	0.4047987430603121	ACVR2A	receptor	INHBA_activin_TGF_family
Donor2	Wound30	Donor2_Wound30	0.6799057627581812	ACVR2A	receptor	INHBA_activin_TGF_family
Donor2	Wound7	Donor2_Wound7	0.31337847937414287	ACVR2A	receptor	INHBA_activin_TGF_family
Donor3	Skin	Donor3_Skin	0.46393444512247206	ACVR2A	receptor	INHBA_activin_TGF_family
Donor3	Wound1	Donor3_Wound1	0.47611560372700223	ACVR2A	receptor	INHBA_activin_TGF_family
Donor3	Wound30	Donor3_Wound30	0.5314959959475769	ACVR2A	receptor	INHBA_activin_TGF_family
Donor3	Wound7	Donor3_Wound7	0.4899501544064496	ACVR2A	receptor	INHBA_activin_TGF_family
Donor4	Skin	Donor4_Skin	0.624208258024075	ACVR2A	receptor	INHBA_activin_TGF_family
Donor4	Wound1	Donor4_Wound1	0.31059989770561175	ACVR2A	receptor	INHBA_activin_TGF_family
Donor4	Wound30	Donor4_Wound30	0.32671879071564897	ACVR2A	receptor	INHBA_activin_TGF_family
Donor4	Wound7	Donor4_Wound7	0.5108629566864366	ACVR2A	receptor	INHBA_activin_TGF_family
Donor1	Skin	Donor1_Skin	0.046977172323205134	ACVR2B	receptor	INHBA_activin_TGF_family
Donor1	Wound1	Donor1_Wound1	0.013799578720298408	ACVR2B	receptor	INHBA_activin_TGF_family
Donor1	Wound30	Donor1_Wound30	0.08793529063182903	ACVR2B	receptor	INHBA_activin_TGF_family
Donor1	Wound7	Donor1_Wound7	0.06744197189190879	ACVR2B	receptor	INHBA_activin_TGF_family
Donor2	Skin	Donor2_Skin	0.05073381752307963	ACVR2B	receptor	INHBA_activin_TGF_family
Donor2	Wound1	Donor2_Wound1	0.08667212077416164	ACVR2B	receptor	INHBA_activin_TGF_family
Donor2	Wound30	Donor2_Wound30	0.08633126858407073	ACVR2B	receptor	INHBA_activin_TGF_family
Donor2	Wound7	Donor2_Wound7	0.06998316617084137	ACVR2B	receptor	INHBA_activin_TGF_family
Donor3	Skin	Donor3_Skin	0.015420432916642827	ACVR2B	receptor	INHBA_activin_TGF_family
Donor3	Wound1	Donor3_Wound1	0.09250519096758521	ACVR2B	receptor	INHBA_activin_TGF_family
Donor3	Wound30	Donor3_Wound30	0.06916970882678253	ACVR2B	receptor	INHBA_activin_TGF_family
Donor3	Wound7	Donor3_Wound7	0.06885957676658358	ACVR2B	receptor	INHBA_activin_TGF_family
Donor4	Skin	Donor4_Skin	0.03647652736186618	ACVR2B	receptor	INHBA_activin_TGF_family
Donor4	Wound1	Donor4_Wound1	0.05209752359202379	ACVR2B	receptor	INHBA_activin_TGF_family
Donor4	Wound30	Donor4_Wound30	0.056836341147456136	ACVR2B	receptor	INHBA_activin_TGF_family
Donor4	Wound7	Donor4_Wound7	0.1345241072960929	ACVR2B	receptor	INHBA_activin_TGF_family
Donor1	Skin	Donor1_Skin	0.045892334353691305	BAMBI	receptor	INHBA_activin_TGF_family
Donor1	Wound1	Donor1_Wound1	0.062002130338952216	BAMBI	receptor	INHBA_activin_TGF_family
Donor1	Wound30	Donor1_Wound30	0.1505662257577679	BAMBI	receptor	INHBA_activin_TGF_family
Donor1	Wound7	Donor1_Wound7	0.11629292642699163	BAMBI	receptor	INHBA_activin_TGF_family
Donor2	Skin	Donor2_Skin	0.017528168893780685	BAMBI	receptor	INHBA_activin_TGF_family
Donor2	Wound1	Donor2_Wound1	0.057183229818326714	BAMBI	receptor	INHBA_activin_TGF_family
Donor2	Wound30	Donor2_Wound30	0.05399385188374007	BAMBI	receptor	INHBA_activin_TGF_family
Donor2	Wound7	Donor2_Wound7	0.1197993405256497	BAMBI	receptor	INHBA_activin_TGF_family
Donor3	Skin	Donor3_Skin	0.011617412178460003	BAMBI	receptor	INHBA_activin_TGF_family
Donor3	Wound1	Donor3_Wound1	0.030748203152319905	BAMBI	receptor	INHBA_activin_TGF_family
Donor3	Wound30	Donor3_Wound30	0.0679180078397723	BAMBI	receptor	INHBA_activin_TGF_family
Donor3	Wound7	Donor3_Wound7	0.09748073550320878	BAMBI	receptor	INHBA_activin_TGF_family
Donor4	Skin	Donor4_Skin	0.06485521532456173	BAMBI	receptor	INHBA_activin_TGF_family
Donor4	Wound1	Donor4_Wound1	0.058081773769834394	BAMBI	receptor	INHBA_activin_TGF_family
Donor4	Wound30	Donor4_Wound30	0.0378741785340338	BAMBI	receptor	INHBA_activin_TGF_family
Donor4	Wound7	Donor4_Wound7	0.08394729615734632	BAMBI	receptor	INHBA_activin_TGF_family
Donor1	Skin	Donor1_Skin	0.0	CCL20	ligand	CCL20_CCR6
Donor1	Wound1	Donor1_Wound1	0.01686904378959099	CCL20	ligand	CCL20_CCR6
Donor1	Wound30	Donor1_Wound30	0.004659499577309834	CCL20	ligand	CCL20_CCR6
